token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Haec	hic	_	Plur	_	_	Nom	Neut	1	PROdem
per	per	_	_	_	_	_	_	_	PRE
Armeniam	Armenia	_	Sing	_	_	Acc	_	_	NOMpro
notabiliter	notabiliter	Pos	_	_	_	_	_	_	ADV
gesta	gero	_	Plur	_	Par|Perf|Pass	Nom	Neut	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER

Sapor	Sapor	_	Sing	_	_	Nom	_	_	NOMpro
uero	uero	_	_	_	_	_	_	4	CONcoo
post	post	_	_	_	_	_	_	2	PRE
suorum	sui	_	Plur	_	_	Gen	MascNeut	2	PROpos.ref
pristinam	pristinus	Pos	Sing	_	_	Acc	Fem	_	ADJqua
cladem	clades	_	Sing	_	_	Acc	_	_	NOMcom
comperto	comperio	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
interitu	interitus	_	Sing	_	_	Abl	_	_	NOMcom
Papae	Papa	_	Sing	_	_	Gen	_	_	NOMpro
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
sociare	socio	_	_	_	Inf|Pres|Act	_	_	_	VER
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
impendio	impendium	_	Sing	_	_	Dat	_	_	NOMcom
conabatur	conor	_	Sing	3	Ind|Impa|Dep	_	_	_	VER
maerore	maeror	_	Sing	_	_	Abl	_	_	NOMcom
graui	grauis	Pos	Sing	_	_	Abl	Com	_	ADJqua
perculsus	percello	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
augenteque	augeo界que	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
nostri	noster	_	Sing	_	_	Gen	MascNeut	_	PROpos
exercitus	exercitus	_	Sing	_	_	Gen	_	1	NOMcom
alacritate	alacritas	_	Sing	_	_	Abl	_	_	NOMcom
formidinem	formido	_	Sing	_	_	Acc	_	1	NOMcom
maiora	magnus	Comp	Plur	_	_	Acc	Neut	_	ADJqua
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
praeseminans	praesemino	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
Arsace	Arsaces	_	Sing	_	_	Abl	_	_	NOMpro
legato	legatus	_	Sing	_	_	Abl	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
principem	princeps	_	Sing	_	_	Acc	_	1	NOMcom
misso	mitto	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
perpetuam	perpetuus	Pos	Sing	_	_	Acc	Fem	_	ADJqua
aerumnarum	aerumna	_	Plur	_	_	Gen	_	_	NOMcom
causam	causa	_	Sing	_	_	Acc	_	_	NOMcom
deleri	deleo	_	_	_	Inf|Pres|Pass	_	_	_	VER
penitus	penitus	Pos	_	_	_	_	_	2	ADV
suadebat	suadeo	_	Sing	3	Ind|Impa|Act	_	_	_	VER
Armeniam	Armenia	_	Sing	_	_	Acc	_	_	NOMpro
si	si	_	_	_	_	_	_	2	CONsub
id	is	_	Sing	_	_	Acc	Neut	_	PROdem
displicuisset	displiceo	_	Sing	3	Sub|Pqp|Act	_	_	_	VER
aliud	alius	_	Sing	_	_	Acc	Neut	_	PROind
poscens	posco	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
Hiberiae	Hiberia	_	Sing	_	_	Gen	_	_	NOMpro
diuisione	diuisio	_	Sing	_	_	Abl	_	_	NOMcom
cessante	cesso	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
remotisque	remoueo界que	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
inde	inde	Pos	_	_	_	_	_	_	ADV
partis	pars	_	Sing	_	_	Gen	_	_	NOMcom
Romanae	Romanus	Pos	Sing	_	_	Gen	Fem	_	ADJqua
praesidiis	praesidium	_	Plur	_	_	Abl	_	_	NOMcom
Aspacures	Aspacures	_	Sing	_	_	Nom	_	_	NOMpro
solus	solus	_	Sing	_	_	Nom	Masc	_	PROind
regnare	regno	_	_	_	Inf|Pres|Act	_	_	_	VER
permitteretur	permitto	_	Sing	3	Sub|Impa|Pass	_	_	_	VER
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
praefecerat	praeficio	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
genti	gens	_	Sing	_	_	Dat	_	_	NOMcom

Ad	ad	_	_	_	_	_	_	2	PRE
quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
Ualens	Ualens	_	Sing	_	_	Nom	_	_	NOMpro
in	in	_	_	_	_	_	_	_	PRE
hanc	hic	_	Sing	_	_	Acc	Fem	1	PROdem
respondit	respondeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
sententiam	sententia	_	Sing	_	_	Acc	_	_	NOMcom
nihil	nihil	_	_	_	_	Ind	_	_	PROind
derogare	derogo	_	_	_	Inf|Pres|Act	_	_	_	VER
se	sui	_	Sing	_	_	Acc	_	1	PROref
posse	possum	_	_	_	Inf|Pres|Act	_	_	1	VER
placitis	placeo	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
ex	ex	_	_	_	_	_	_	_	PRE
consensu	consensus	_	Sing	_	_	Abl	_	_	NOMcom
firmatis	firmo	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
sed	sed	_	_	_	_	_	_	_	CONcoo
ea	is	_	Plur	_	_	Acc	Neut	_	PROdem
studio	studium	_	Sing	_	_	Abl	_	_	NOMcom
curatiore	curatus	Comp	Sing	_	_	Abl	Com	2	ADJqua
defendere	defendo	_	_	_	Inf|Pres|Act	_	_	_	VER

Glorioso	gloriosus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
proposito	propositum	_	Sing	_	_	Abl	_	_	NOMcom
contrariae	contrarius	Pos	Plur	_	_	Nom	Fem	_	ADJqua
regis	rex	_	Sing	_	_	Gen	_	_	NOMcom
