token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Constat	consto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
autem	autem	_	_	_	_	_	_	_	CONcoo
omnis	omnis	_	Sing	_	_	Nom	MascFem	_	PROind
matrix	matrix	_	Sing	_	_	Nom	_	_	NOMcom
ex	ex	_	_	_	_	_	_	_	PRE
duabus	duo	_	Plur	_	_	Abl	Fem	_	ADJcar
contraria	contrarius	Pos	Sing	_	_	Abl	Fem	_	ADJqua
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
positione	positio	_	Sing	_	_	Abl	_	_	NOMcom
obiectis	obicio	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
tunicis	tunica	_	Plur	_	_	Abl	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
similitudinem	similitudo	_	Sing	_	_	Acc	_	_	NOMcom
cartae	charta	_	Sing	_	_	Gen	_	_	NOMcom
quae	qui	_	Sing	_	_	Nom	Fem	1	PROrel
duobus	duo	_	Plur	_	_	Abl	MascNeut	_	ADJcar
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
confecta	conficio	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
corticibus	cortex	_	Plur	_	_	Abl	_	_	NOMcom

set	sed	_	_	_	_	_	_	_	CONcoo
exterior	exter	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
pulposa	pulposus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
neruosa	neruosus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
atque	atque	_	_	_	_	_	_	1	CONcoo
lenior	lenis	Comp	Sing	_	_	Nom	MascFem	2	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
alba	albus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
durior	durus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
tenacior	tenax	Comp	Sing	_	_	Nom	MascFem	_	ADJqua

interior	interior	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
uero	uero	_	_	_	_	_	_	4	CONcoo
carnosa	carnosus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
mollior	mollis	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
rubrior	ruber	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
ac	ac	_	_	_	_	_	_	1	CONcoo
plurimis	multus	Sup	Plur	_	_	Abl	Com	_	ADJqua
uasculis	uasculum	_	Plur	_	_	Abl	_	_	NOMcom
innexa	innecto	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
lenis	lenis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
fundo	fundus	_	Sing	_	_	Abl	_	_	NOMcom
quo	quo	_	_	_	_	_	_	2	ADVrel
semen	semen	_	Sing	_	_	Nom	_	1	NOMcom
uirile	uirilis	Pos	Sing	_	_	Nom	Neut	_	ADJqua
iactum	iacio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
fundo	fundus	_	Sing	_	_	Abl	_	_	NOMcom
inheret	inhaereo	_	Sing	3	Sub|Impa|Act	_	_	_	VER

ex	ex	_	_	_	_	_	_	_	PRE
eodem	idem	_	Sing	_	_	Abl	MascNeut	_	PROdem
purgatio	purgatio	_	Sing	_	_	Nom	_	_	NOMcom
menstrualis	menstrualis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
meatu	meatus	_	Sing	_	_	Abl	_	_	NOMcom
fluit	fluo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

set	sed	_	_	_	_	_	_	_	CONcoo
haec	hic	_	Plur	_	_	Nom	Fem	1	PROdem
duae	duo	_	Plur	_	_	Nom	Fem	_	ADJcar
tunicae	tunica	_	Plur	_	_	Nom	_	_	NOMcom
quas	qui	_	Plur	_	_	Acc	Fem	1	PROrel
diximus	dico	_	Plur	1	Ind|Perf|Act	_	_	2	VER
in	in	_	_	_	_	_	_	_	PRE
similitudinem	similitudo	_	Sing	_	_	Acc	_	_	NOMcom
carte	charta	_	Sing	_	_	Gen	_	_	NOMcom
constitutas	constituo	_	Plur	_	Par|Perf|Pass	Acc	Fem	_	VER
inuicem	inuicem	Pos	_	_	_	_	_	_	ADV
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
connexe	connecto	_	Plur	_	Par|Perf|Pass	Nom	Fem	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER
largo	largus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
membranarum	membrana	_	Plur	_	_	Gen	_	_	NOMcom
amplexu	amplexus	_	Sing	_	_	Abl	_	_	NOMcom
ut	ut	_	_	_	_	_	_	4	CONsub
plerumque	plerumque	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	3	CONsub
extenduntur	extendo	_	Plur	3	Ind|Pres|Pass	_	_	_	VER
procadat	procado	_	Sing	3	Sub|Pres|Act	_	_	_	VER
matrix	matrix	_	Sing	_	_	Nom	_	_	NOMcom
manente	maneo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
exteriore	exter	Comp	Sing	_	_	Abl	Com	_	ADJqua
atque	atque	_	_	_	_	_	_	1	CONcoo
neruosa	neruosus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
membrana	membrana	_	Sing	_	_	Abl	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
sua	suus	_	Sing	_	_	Abl	Fem	_	PROpos.ref
regione	regio	_	Sing	_	_	Abl	_	_	NOMcom
interiori	interior	Pos	Sing	_	_	Abl	Com	2	ADJqua
uersa	uerto	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
procadente	procado	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER

Item	item	Pos	_	_	_	_	_	_	ADV
communiter	communiter	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
hiis	hic	_	Plur	_	_	Abl	Com	1	PROdem
que	qui	_	Plur	_	_	Nom	Neut	1	PROrel
partum	partus	_	Sing	_	_	Acc	_	1	NOMcom
nesciunt	nescio	_	Plur	3	Ind|Pres|Act	_	_	_	VER
matrix	matrix	_	Sing	_	_	Nom	_	_	NOMcom
fundo	fundus	_	Sing	_	_	Abl	_	_	NOMcom
habet	habeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
extantias	exstantia	_	Plur	_	_	Acc	_	_	NOMcom
papillarum	papilla	_	Plur	_	_	Gen	_	_	NOMcom
duas	duo	_	Plur	_	_	Acc	Fem	_	ADJcar
in	in	_	_	_	_	_	_	_	PRE
similitudine	similitudo	_	Sing	_	_	Abl	_	_	NOMcom
complicatas	complico	_	Plur	_	Par|Perf|Pass	Acc	Fem	_	VER

in	in	_	_	_	_	_	_	_	PRE
parentibus	parens	_	Plur	_	_	Abl	_	1	NOMcom
uero	uero	_	_	_	_	_	_	4	CONcoo
omnis	omnis	_	Sing	_	_	Nom	MascFem	_	PROind
extenditur	extendo	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
rotundum	rotundus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
sumit	sumo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
scema	schema	_	Sing	_	_	Nom	_	_	NOMcom

Matrice	matrix	_	Sing	_	_	Abl	_	_	NOMcom
autem	autem	_	_	_	_	_	_	_	CONcoo
aliquibus	aliquis	_	Plur	_	_	Abl	Com	_	PROind
ex	ex	_	_	_	_	_	_	_	PRE
causis	causa	_	Plur	_	_	Abl	_	_	NOMcom
affecta	afficio	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
compatitur	compatior	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
stomachus	stomachus	_	Sing	_	_	Nom	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
cerebri	cerebrum	_	Sing	_	_	Gen	_	_	NOMcom
membrana	membrana	_	Sing	_	_	Nom	_	_	NOMcom

habet	habeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
