token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Postquam	postquam	_	_	_	_	_	_	_	CONsub
dicendi	dico	_	Sing	_	Ger|_|Act	Gen	_	2	VER
finis	finis	_	Sing	_	_	Nom	_	_	NOMcom
factus	facio	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
Priamus	Priamus	_	Sing	_	_	Nom	_	_	NOMpro
magno	magnus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
animo	animus	_	Sing	_	_	Abl	_	_	NOMcom
surgit	surgo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ingerit	ingero	_	Sing	3	Ind|Pres|Act	_	_	_	VER
multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
mala	malum	Pos	Plur	_	_	Acc	Neut	3	ADJqua
Antenori	Antenor	_	Sing	_	_	Dat	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
Aeneae	Aeneas	_	Sing	_	_	Dat	_	_	NOMcom

Eos	is	_	Plur	_	_	Acc	Masc	_	PROdem
belli	bellum	_	Sing	_	_	Gen	_	_	NOMcom
appetendi	appeto	_	Sing	_	Adj|_|Pass	Gen	Masc	_	VER
auctores	auctor	_	Plur	_	_	Acc	_	_	NOMcom
fuisse	sum	_	_	_	Inf|Perf|Act	_	_	1	VER
ut	ut	_	_	_	_	_	_	4	CONsub
legati	legatus	_	Plur	_	_	Nom	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
Graeciam	Graecia	_	Sing	_	_	Acc	_	_	NOMpro
mitterentur	mitto	_	Plur	3	Sub|Impa|Pass	_	_	_	VER
Antenorem	Antenor	_	Sing	_	_	Acc	_	_	NOMpro
quidem	quidem	Pos	_	_	_	_	_	_	ADV
obiurgat	obiurgo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
quia	quia	_	_	_	_	_	_	_	CONsub
pacem	pax	_	Sing	_	_	Acc	_	_	NOMcom
suadeat	suadeo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
quoque	quoque	Pos	_	_	_	_	_	_	ADV
legatus	legatus	_	Sing	_	_	Nom	_	_	NOMcom
ierit	eo	_	Sing	3	Sub|Perf|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
renuntiauerit	renuntio	_	Sing	3	Sub|Perf|Act	_	_	_	VER
se	sui	_	Sing	_	_	Acc	_	1	PROref
contumeliose	contumeliose	Pos	_	_	_	_	_	_	ADV
tractatum	tracto	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
et	et	Pos	_	_	_	_	_	2	CONcoo
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
bellum	bellum	_	Sing	_	_	Acc	_	_	NOMcom
suaserit	suadeo	_	Sing	3	Sub|Perf|Act	_	_	_	VER
deinde	deinde	Pos	_	_	_	_	_	_	ADV
Aeneam	Aeneas	_	Sing	_	_	Acc	_	_	NOMpro
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
cum	cum	_	_	_	_	_	_	2	PRE
Alexandro	Alexander	_	Sing	_	_	Abl	_	_	NOMpro
