token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Gens	gens	_	Sing	_	_	Nom	_	_	NOMcom
Meroingorum	Merouingus	Pos	Plur	_	_	Gen	MascNeut	_	ADJqua
de	de	_	_	_	_	_	_	_	PRE
qua	qui	_	Sing	_	_	Abl	Fem	1	PROrel
Franci	Franci	_	Plur	_	_	Nom	_	_	NOMpro
reges	rex	_	Plur	_	_	Nom	_	_	NOMcom
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
creare	creo	_	_	_	Inf|Pres|Act	_	_	_	VER
soliti	soleo	_	Plur	_	Par|Perf|SemDep	Nom	Masc	_	VER
erant	sum	_	Plur	3	Ind|Impa|Act	_	_	1	VER
usque	usque	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
Hildricum	Hildricus	_	Sing	_	_	Acc	_	_	NOMpro
regem	rex	_	Sing	_	_	Acc	_	_	NOMcom
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
iussu	iussus	_	Sing	_	_	Abl	_	_	NOMcom
Stephani	Stephanus	_	Sing	_	_	Gen	_	_	NOMpro
Romani	Romanus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
pontificis	pontifex	_	Sing	_	_	Gen	_	_	NOMcom
depositus	depono	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
ac	ac	_	_	_	_	_	_	1	CONcoo
detonsus	detondeo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	ADJqua
atque	atque	_	_	_	_	_	_	1	CONcoo
in	in	_	_	_	_	_	_	_	PRE
monasterium	monasterium	_	Sing	_	_	Acc	_	_	NOMcom
trusus	trudo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
durasse	duro	_	_	_	Inf|Perf|Act	_	_	_	VER
putatur	puto	_	Sing	3	Ind|Pres|Pass	_	_	_	VER

Quae	qui	_	Sing	_	_	Nom	Fem	1	PROrel
licet	licet	_	_	_	_	_	_	2	ADV
in	in	_	_	_	_	_	_	_	PRE
illo	ille	_	Sing	_	_	Abl	MascNeut	_	PROdem
finita	finio	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
possit	possum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
uideri	uideo	_	_	_	Inf|Pres|Pass	_	_	_	VER
tamen	tamen	Pos	_	_	_	_	_	_	ADV
iam	iam	Pos	_	_	_	_	_	_	ADV
dudum	dudum	Pos	_	_	_	_	_	_	ADV
nullius	nullus	_	Sing	_	_	Gen	Com	_	PROind
uigoris	uigor	_	Sing	_	_	Gen	_	_	NOMcom
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
quicquam	quisquam	_	Sing	_	_	Acc	Neut	_	PROind
in	in	_	_	_	_	_	_	_	PRE
se	sui	_	Sing	_	_	Abl	_	1	PROref
clarum	clarus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
praeter	praeter	_	_	_	_	_	_	2	PRE
inane	inanis	Pos	Sing	_	_	Acc	Neut	_	ADJqua
regis	rex	_	Sing	_	_	Gen	_	_	NOMcom
uocabulum	uocabulum	_	Sing	_	_	Acc	_	_	NOMcom
praeferebat	praefero	_	Sing	3	Ind|Impa|Act	_	_	_	VER

Nam	nam	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
opes	ops	_	Plur	_	_	Nom	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
potentia	potentia	_	Sing	_	_	Nom	_	_	NOMcom
regni	regnum	_	Sing	_	_	Gen	_	_	NOMcom
penes	penes	_	_	_	_	_	_	_	PRE
palatii	Palatium	_	Sing	_	_	Gen	_	_	NOMcom
praefectos	praefectus	_	Plur	_	_	Acc	_	_	NOMcom
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
maiores	magnus	Comp	Plur	_	_	Nom	MascFem	_	ADJqua
domus	domus	_	Sing	_	_	Gen	_	_	NOMcom
dicebantur	dico	_	Plur	3	Ind|Impa|Pass	_	_	2	VER
et	et	_	_	_	_	_	_	2	CONcoo
ad	ad	_	_	_	_	_	_	2	PRE
quos	qui	_	Plur	_	_	Acc	Masc	1	PROrel
summa	summa	_	Sing	_	_	Nom	_	_	NOMcom
imperii	imperium	_	Sing	_	_	Gen	_	_	NOMcom
pertinebat	pertineo	_	Sing	3	Ind|Impa|Act	_	_	_	VER
tenebantur	teneo	_	Plur	3	Ind|Impa|Pass	_	_	_	VER

Neque	neque	_	_	_	_	_	_	_	CONcoo
regi	rex	_	Sing	_	_	Dat	_	_	NOMcom
aliud	alius	_	Sing	_	_	Nom	Neut	_	PROind
relinquebatur	relinquo	_	Sing	3	Ind|Impa|Pass	_	_	_	VER
quam	quam	_	_	_	_	_	_	1	ADVrel
ut	ut	_	_	_	_	_	_	4	CONsub
regio	regius	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
tantum	tantum	Pos	_	_	_	_	_	2	ADV
nomine	nomen	_	Sing	_	_	Abl	_	_	NOMcom
contentus	contentus	Pos	Sing	_	_	Nom	Masc	1	ADJqua
crine	crinis	_	Sing	_	_	Abl	_	_	NOMcom
profuso	profundo	_	Sing	_	Par|Perf|Pass	Abl	MascFem	2	VER
barba	barba	_	Sing	_	_	Abl	_	_	NOMcom
summissa	submitto	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
