token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Initium	initium	_	Sing	_	_	Nom	_	_	NOMcom
tragoediae	tragoedia	_	Sing	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
comoediae	comoedia	_	Sing	_	_	Gen	_	_	NOMcom
a	ab	_	_	_	_	_	_	_	PRE
rebus	res	_	Plur	_	_	Abl	_	_	NOMcom
diuinis	diuinus	Pos	Plur	_	_	Abl	Com	2	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
incohatum	inchoo	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
quibus	qui	_	Plur	_	_	Dat	Com	1	PROrel
pro	pro	_	_	_	_	_	_	1	PRE
fructibus	fructus	_	Plur	_	_	Abl	_	_	NOMcom
uota	uotum	_	Plur	_	_	Acc	_	_	NOMcom
soluentes	soluo	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER
operabantur	operor	_	Plur	3	Ind|Impa|Pass	_	_	_	VER
antiqui	antiquus	Pos	Plur	_	_	Nom	Masc	_	ADJqua

Namque	namque	_	_	_	_	_	_	_	CONcoo
incensis	incendo	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
iam	iam	Pos	_	_	_	_	_	_	ADV
altaribus	altar	_	Plur	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
admoto	admoueo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
hirco	hircus	_	Sing	_	_	Abl	_	_	NOMcom
id	is	_	Sing	_	_	Nom	Neut	_	PROdem
genus	genus	_	Sing	_	_	Nom	_	1	NOMcom
carminis	carmen	_	Sing	_	_	Gen	_	1	NOMcom
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
sacer	sacer	Pos	Sing	_	_	Nom	Masc	_	ADJqua
chorus	chorus	_	Sing	_	_	Nom	_	_	NOMcom
reddebat	reddo	_	Sing	3	Ind|Impa|Act	_	_	_	VER
Libero	Liber	_	Sing	_	_	Dat	_	_	NOMpro
patri	pater	_	Sing	_	_	Dat	_	_	NOMcom
tragoedia	tragoedia	_	Sing	_	_	Nom	_	_	NOMcom
dicebatur	dico	_	Sing	3	Ind|Impa|Pass	_	_	2	VER
uel	uel	_	_	_	_	_	_	2	CONcoo
hoc	hic	_	Sing	_	_	Nom	Neut	1	PROdem
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
ab	ab	_	_	_	_	_	_	_	PRE
