token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Bellum	bellum	_	Sing	_	_	Nom	_	_	NOMcom
contra	contra	_	_	_	_	_	_	2	PRE
Alamannos	Alamanni	_	Plur	_	_	Acc	_	_	NOMpro

Regina	regina	_	Sing	_	_	Nom	_	_	NOMcom
uero	uero	_	_	_	_	_	_	4	CONcoo
non	non	_	_	_	_	_	_	_	ADVneg
cessabat	cesso	_	Sing	3	Ind|Impa|Act	_	_	_	VER
praedicare	praedico	_	_	_	Inf|Pres|Act	_	_	1	VER
ut	ut	_	_	_	_	_	_	4	CONsub
Deum	deus	_	Plur	_	_	Acc	_	_	NOMcom
uerum	uerus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
cognusceret	cognosco	_	Sing	3	Sub|Impa|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
idola	idolum	_	Plur	_	_	Acc	_	_	NOMcom
neglegerit	negligo	_	Sing	3	Sub|Perf|Act	_	_	_	VER

Sed	sed	_	_	_	_	_	_	_	CONcoo
nullo	nullus	_	Sing	_	_	Abl	MascNeut	_	PROind
modo	modus	_	Sing	_	_	Abl	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
haec	hic	_	Plur	_	_	Acc	Neut	1	PROdem
credenda	credo	_	Plur	_	Adj|_|Pass	Acc	Neut	_	VER
poterat	possum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
commoueri	commoueo	_	_	_	Inf|Pres|Pass	_	_	_	VER
donec	donec	_	_	_	_	_	_	_	CONsub
tandem	tandem	Pos	_	_	_	_	_	_	ADV
aliquando	aliquando	Pos	_	_	_	_	_	_	ADV
bellum	bellum	_	Sing	_	_	Nom	_	_	NOMcom
contra	contra	_	_	_	_	_	_	2	PRE
Alamannos	Alamanni	_	Plur	_	_	Acc	_	_	NOMpro
conmoueretur	commoueo	_	Sing	3	Sub|Impa|Pass	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
conpulsus	compello	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
confiteri	confiteor	_	_	_	Inf|Pres|Dep	_	_	_	VER
necessitate	necessitas	_	Sing	_	_	Abl	_	_	NOMcom
quod	quod	_	_	_	_	_	_	2	CONsub
prius	prius	Comp	_	_	_	_	_	_	ADJadv.ord
uoluntate	uoluntas	_	Sing	_	_	Abl	_	_	NOMcom
negauerat	nego	_	Sing	3	Ind|Pqp|Act	_	_	_	VER

Factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
autem	autem	_	_	_	_	_	_	_	CONcoo
ut	ut	_	_	_	_	_	_	4	CONsub
confligente	confligo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
utroque	uterque	_	Sing	_	_	Abl	MascNeut	_	PROind
exercitu	exercitus	_	Sing	_	_	Abl	_	1	NOMcom
uehementer	uehementer	Pos	_	_	_	_	_	_	ADV
caederentur	caedo	_	Plur	3	Sub|Impa|Pass	_	_	_	VER
atque	atque	_	_	_	_	_	_	1	CONcoo
exercitus	exercitus	_	Sing	_	_	Nom	_	1	NOMcom
Chlodouechi	Chlodouechus	_	Sing	_	_	Gen	_	_	NOMpro
ualde	ualde	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
internitionem	internecio	_	Sing	_	_	Acc	_	_	NOMcom
ruere	ruo	_	_	_	Inf|Pres|Act	_	_	_	VER
coepit	coepio	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
uidens	uideo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
eleuatis	eleuo	_	Plur	_	Par|Perf|Pass	Abl	Com	1	VER
ad	ad	_	_	_	_	_	_	2	PRE
caelum	caelum	_	Sing	_	_	Acc	_	1	NOMcom
oculis	oculus	_	Plur	_	_	Abl	_	_	NOMcom
conpunctus	compungo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
corde	cor	_	Sing	_	_	Abl	_	_	NOMcom
commotus	commoueo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
in	in	_	_	_	_	_	_	_	PRE
lacrimis	lacrima	_	Plur	_	_	Abl	_	_	NOMcom
ait	aio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
Iesu	Iesus	_	Sing	_	_	Voc	_	_	NOMpro
Christi	Christus	_	Sing	_	_	Voc	_	_	NOMpro
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
Chrotchildis	Chrotchildis	_	Sing	_	_	Nom	_	_	NOMpro
praedicat	praedico	_	Sing	3	Ind|Pres|Act	_	_	1	VER
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
Dei	deus	_	Sing	_	_	Gen	_	_	NOMcom
uiui	uiuus	Pos	Sing	_	_	Gen	MascNeut	2	ADJqua
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
dare	do	_	_	_	Inf|Pres|Act	_	_	_	VER
auxilium	auxilium	_	Sing	_	_	Acc	_	_	NOMcom
laborantibus	laboro	_	Plur	_	Par|Pres|Act	Dat	Com	_	VER
uicturiamque	uictoria	_	Sing	_	_	Acc	_	_	NOMcom
uicturiamque	que	_	_	_	_	_	_	_	CONcoo
in	in	_	_	_	_	_	_	_	PRE
te	tu	_	Sing	_	_	Abl	_	_	PROper
sperantibus	spero	_	Plur	_	Par|Pres|Act	Dat	Com	_	VER
tribuere	tribuo	_	_	_	Inf|Pres|Act	_	_	_	VER
diceris	dico	_	Sing	2	Ind|Pres|Act	_	_	2	VER
tuae	tuus	_	Sing	_	_	Gen	Fem	_	PROpos
opis	ops	_	Sing	_	_	Gen	_	_	NOMcom
gloriam	gloria	_	Sing	_	_	Acc	_	_	NOMcom
deuotus	deuotus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
efflagito	efflagito	_	Sing	1	Ind|Pres|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
si	si	_	_	_	_	_	_	2	CONsub
mihi	ego	_	Sing	_	_	Dat	_	_	PROper
uicturiam	uictoria	_	Sing	_	_	Acc	_	_	NOMcom
super	super	_	_	_	_	_	_	2	PRE
hos	hic	_	Plur	_	_	Acc	Masc	1	PROdem
hostes	hostis	_	Plur	_	_	Acc	_	_	NOMcom
indulseris	indulgeo	_	Sing	2	Ind|FutAnt|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
expertus	experior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
fuero	sum	_	Sing	1	Ind|FutAnt|Act	_	_	1	VER
illam	ille	_	Sing	_	_	Acc	Fem	_	PROdem
uirtutem	uirtus	_	Sing	_	_	Acc	_	_	NOMcom
quam	qui	_	Sing	_	_	Acc	Fem	1	PROrel
de	de	_	_	_	_	_	_	_	PRE
te	tu	_	Sing	_	_	Abl	_	_	PROper
populus	populus	_	Sing	_	_	Nom	_	1	NOMcom
tuo	tuus	_	Sing	_	_	Abl	MascNeut	_	PROpos
nomine	nomen	_	Sing	_	_	Abl	_	_	NOMcom
dicatus	dico	_	Sing	_	Par|Perf|Pass	Nom	Masc	1	VER
probasse	probo	_	_	_	Inf|Perf|Act	_	_	_	VER
se	sui	_	Sing	_	_	Acc	_	1	PROref
praedicat	praedico	_	Sing	3	Ind|Pres|Act	_	_	1	VER
credam	credo	_	Sing	1	Sub|Pres|Act	_	_	_	VER
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
et	et	_	_	_	_	_	_	2	CONcoo
in	in	_	_	_	_	_	_	_	PRE
nomine	nomen	_	Sing	_	_	Abl	_	_	NOMcom
tuo	tuus	_	Sing	_	_	Abl	MascNeut	_	PROpos
baptizer	baptizo	_	Sing	1	Sub|Pres|Pass	_	_	_	VER

Inuocaui	inuoco	_	Sing	1	Ind|Perf|Act	_	_	_	VER
enim	enim	_	_	_	_	_	_	2	CONcoo
deos	deus	_	Plur	_	_	Acc	_	_	NOMcom
meos	meus	_	Plur	_	_	Acc	Masc	_	PROpos
sed	sed	_	_	_	_	_	_	_	CONcoo
ut	ut	_	_	_	_	_	_	4	CONsub
experior	experior	_	Sing	1	Ind|Pres|Dep	_	_	_	VER
elongati	elongo	_	Plur	_	Par|Perf|Pass	Nom	Masc	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER
ab	ab	_	_	_	_	_	_	_	PRE
auxilio	auxilium	_	Sing	_	_	Abl	_	_	NOMcom
meo	meus	_	Sing	_	_	Abl	MascNeut	_	PROpos

unde	unde	_	_	_	_	_	_	1	ADVrel
credo	credo	_	Sing	1	Ind|Pres|Act	_	_	_	VER
eos	is	_	Plur	_	_	Acc	Masc	_	PROdem
nullius	nullus	_	Sing	_	_	Gen	Com	_	PROind
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
potestatis	potestas	_	Sing	_	_	Gen	_	_	NOMcom
praeditos	praeditus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
sibi	sui	_	Plur	_	_	Dat	_	1	PROref
oboedientibus	obedio	_	Plur	_	Par|Pres|Act	Abl	Com	_	VER
non	non	_	_	_	_	_	_	_	ADVneg
occurrunt	occurro	_	Plur	3	Ind|Pres|Act	_	_	_	VER

Te	tu	_	Sing	_	_	Acc	_	_	PROper
nunc	nunc	Pos	_	_	_	_	_	_	ADV
inuoco	inuoco	_	Sing	1	Ind|Pres|Act	_	_	_	VER
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
credere	credo	_	_	_	Inf|Pres|Act	_	_	_	VER
desidero	desidero	_	Sing	1	Ind|Pres|Act	_	_	_	VER
tantum	tantum	Pos	_	_	_	_	_	2	ADV
ut	ut	_	_	_	_	_	_	4	CONsub
eruar	eruo	_	Sing	1	Sub|Pres|Pass	_	_	_	VER
ab	ab	_	_	_	_	_	_	_	PRE
aduersariis	aduersarius	_	Plur	_	_	Abl	_	1	NOMcom
meis	meus	_	Plur	_	_	Abl	Com	_	PROpos

Cumque	cum界que	_	_	_	_	_	_	3	CONsub
haec	hic	_	Plur	_	_	Acc	Neut	1	PROdem
dicerit	dico	_	Sing	3	Sub|Perf|Act	_	_	2	VER
Alamanni	Alamanni	_	Plur	_	_	Nom	_	_	NOMpro
terga	tergum	_	Plur	_	_	Acc	_	_	NOMcom
uertentes	uerto	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER
in	in	_	_	_	_	_	_	_	PRE
fugam	fuga	_	Sing	_	_	Acc	_	_	NOMcom
labi	labor	_	_	_	Inf|Pres|Dep	_	_	2	VER
coeperunt	coepio	_	Plur	3	Ind|Perf|Act	_	_	_	VER

Cumque	cum界que	_	_	_	_	_	_	3	CONsub
regem	rex	_	Sing	_	_	Acc	_	_	NOMcom
suum	suus	_	Sing	_	_	Acc	MascNeut	_	PROpos.ref
cernirent	cerno	_	Plur	3	Sub|Impa|Act	_	_	_	VER
interemptum	interimo	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
Chlodouechi	Chlodouechus	_	Sing	_	_	Gen	_	_	NOMpro
se	sui	_	Plur	_	_	Acc	_	1	PROref
ditionibus	dicio	_	Plur	_	_	Abl	_	_	NOMcom
subdunt	subdo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
dicentes	dico	_	Plur	_	Par|Pres|Act	Nom	MascFem	2	VER
Ne	ne	_	_	_	_	_	_	3	ADVneg
amplius	ample	Comp	_	_	_	_	_	_	ADV
quaesumus	quaero	_	Plur	1	Ind|Pres|Act	_	_	_	VER
pereat	pereo	_	Sing	3	Sub|Pres|Act	_	_	1	VER
populus	populus	_	Sing	_	_	Nom	_	1	NOMcom
iam	iam	Pos	_	_	_	_	_	_	ADV
tui	tuus	_	Plur	_	_	Nom	Masc	_	PROpos
sumus	sum	_	Plur	1	Ind|Pres|Act	_	_	1	VER

At	at	_	_	_	_	_	_	2	CONcoo
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
prohibito	prohibeo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
bello	bellum	_	Sing	_	_	Abl	_	_	NOMcom
cohortato	cohortor	_	Sing	_	Par|Perf|Dep	Abl	MascNeut	_	VER
populo	populus	_	Sing	_	_	Abl	_	1	NOMcom
cum	cum	_	_	_	_	_	_	2	PRE
pace	pax	_	Sing	_	_	Abl	_	_	NOMcom
regressus	regredior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
narrauit	narro	_	Sing	3	Ind|Perf|Act	_	_	_	VER
reginae	regina	_	Sing	_	_	Dat	_	_	NOMcom
qualiter	qualiter	_	_	_	_	_	_	2	ADVint
per	per	_	_	_	_	_	_	_	PRE
inuocationem	inuocatio	_	Sing	_	_	Acc	_	_	NOMcom
nominis	nomen	_	Sing	_	_	Gen	_	_	NOMcom
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro
uicturiam	uictoria	_	Sing	_	_	Acc	_	_	NOMcom
meruit	mereo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
obtinere	obtineo	_	_	_	Inf|Pres|Act	_	_	_	VER

Actum	ago	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
anno	annus	_	Sing	_	_	Abl	_	_	NOMcom
3	3	_	_	_	_	_	_	_	ADJord
regni	regnum	_	Sing	_	_	Gen	_	_	NOMcom
sui	suus	_	Sing	_	_	Gen	MascNeut	_	PROpos.ref

De	de	_	_	_	_	_	_	_	PRE
baptismo	baptismum	_	Sing	_	_	Abl	_	_	NOMcom
Chlodouechi	Chlodouechus	_	Sing	_	_	Gen	_	_	NOMpro

Tunc	tunc	Pos	_	_	_	_	_	_	ADV
regina	regina	_	Sing	_	_	Nom	_	_	NOMcom
arcessire	arcesso	_	_	_	Inf|Pres|Act	_	_	_	VER
clam	clam	Pos	_	_	_	_	_	1	ADV
sanctum	sanctus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
Remedium	Remedius	_	Sing	_	_	Acc	_	_	NOMpro
Remensis	Remensis	Pos	Sing	_	_	Gen	Com	_	ADJqua
urbis	urbs	_	Sing	_	_	Gen	_	_	NOMcom
episcopum	episcopus	_	Plur	_	_	Acc	_	_	NOMcom
iubet	iubeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
depraecans	deprecor	_	Sing	_	Par|Pres|Dep	Nom	Com	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
regi	rex	_	Sing	_	_	Dat	_	_	NOMcom
uerbum	uerbum	_	Sing	_	_	Acc	_	_	NOMcom
salutis	salus	_	Sing	_	_	Gen	_	_	NOMcom
insinuaret	insinuo	_	Sing	3	Sub|Impa|Act	_	_	_	VER

Quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
sacerdos	sacerdos	_	Sing	_	_	Nom	_	_	NOMcom
arcessitum	arcesso	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
secretius	secrete	Comp	_	_	_	_	_	_	ADV
coepit	coepio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
insinuare	insinuo	_	_	_	Inf|Pres|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
Deum	deus	_	Sing	_	_	Acc	_	_	NOMcom
uerum	uerus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
factorem	factor	_	Sing	_	_	Acc	_	_	NOMcom
caeli	caelum	_	Sing	_	_	Gen	_	1	NOMcom
ac	ac	_	_	_	_	_	_	1	CONcoo
terrae	terra	_	Sing	_	_	Gen	_	_	NOMcom
crederit	credo	_	Sing	3	Sub|Perf|Act	_	_	_	VER
idola	idolum	_	Plur	_	_	Acc	_	_	NOMcom
neglegerit	negligo	_	Sing	3	Sub|Perf|Act	_	_	_	VER
quae	qui	_	Plur	_	_	Nom	Neut	1	PROrel
neque	neque	_	_	_	_	_	_	_	CONcoo
sibi	sui	_	Plur	_	_	Dat	_	1	PROref
neque	neque	_	_	_	_	_	_	_	CONcoo
aliis	alius	_	Plur	_	_	Dat	Com	_	PROind
prodesse	prosum	_	_	_	Inf|Pres|Act	_	_	1	VER
possunt	possum	_	Plur	3	Ind|Pres|Act	_	_	1	VER

At	at	_	_	_	_	_	_	2	CONcoo
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
ait	aio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
Libenter	libenter	Pos	_	_	_	_	_	_	ADV
te	tu	_	Sing	_	_	Acc	_	_	PROper
sanctissime	sanctus	Sup	Sing	_	_	Voc	Masc	_	ADJqua
pater	pater	_	Sing	_	_	Voc	_	_	NOMcom
audiebam	audio	_	Sing	1	Ind|Impa|Act	_	_	_	VER

sed	sed	_	_	_	_	_	_	_	CONcoo
restat	resto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
unum	unum	_	Sing	_	_	Nom	_	_	NOMcom
quod	quod	_	_	_	_	_	_	2	CONsub
populus	populus	_	Sing	_	_	Nom	_	1	NOMcom
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
me	ego	_	Sing	_	_	Acc	_	_	PROper
sequitur	sequor	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
non	non	_	_	_	_	_	_	_	ADVneg
patitur	patior	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
relinquere	relinquo	_	_	_	Inf|Pres|Act	_	_	_	VER
deos	deus	_	Plur	_	_	Acc	_	_	NOMcom
suos	suus	_	Plur	_	_	Acc	Masc	_	PROpos.ref

sed	sed	_	_	_	_	_	_	_	CONcoo
uado	uado	_	Sing	1	Ind|Pres|Act	_	_	2	VER
et	et	_	_	_	_	_	_	2	CONcoo
loquor	loquor	_	Sing	1	Ind|Pres|Dep	_	_	_	VER
eis	is	_	Plur	_	_	Dat	Com	_	PROdem
iuxta	iuxta	_	_	_	_	_	_	2	PRE
uerbum	uerbum	_	Sing	_	_	Acc	_	_	NOMcom
tuum	tuus	_	Sing	_	_	Acc	MascNeut	_	PROpos

Conueniens	conuenio	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
autem	autem	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	2	PRE
suis	suum	_	Plur	_	_	Abl	Com	_	PROpos.ref
priusquam	priusquam	_	_	_	_	_	_	_	CONsub
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
loqueretur	loquor	_	Sing	3	Sub|Impa|Dep	_	_	_	VER
praecurrente	praecurro	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
potentia	potentia	_	Sing	_	_	Abl	_	_	NOMcom
Dei	deus	_	Sing	_	_	Gen	_	_	NOMcom
omnis	omnis	_	Sing	_	_	Nom	MascFem	_	PROind
populus	populus	_	Sing	_	_	Nom	_	1	NOMcom
pariter	pariter	Pos	_	_	_	_	_	_	ADV
adclamauit	acclamo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
Mortales	mortalis	Pos	Plur	_	_	Acc	MascFem	2	ADJqua
