token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Relicto	relinquo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
ergo	ergo	_	_	_	_	_	_	2	CONcoo
Sarmatico	Sarmaticus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
Marcommannicoque	Marcomannicus界que	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
bello	bellum	_	Sing	_	_	Abl	_	_	NOMcom
contra	contra	_	_	_	_	_	_	2	PRE
Cassium	Cassius	_	Sing	_	_	Acc	_	_	NOMpro
profectus	proficiscor	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Romae	Roma	_	Sing	_	_	Loc	_	_	NOMcom
etiam	etiam	Pos	_	_	_	_	_	_	ADV
turbae	turba	_	Plur	_	_	Nom	_	_	NOMcom
fuerunt	sum	_	Plur	3	Ind|Perf|Act	_	_	1	VER
quasi	quasi	_	_	_	_	_	_	2	CONsub
Cassius	Cassius	_	Sing	_	_	Nom	_	_	NOMpro
absente	absum	_	Sing	_	Par|Pres|Act	Abl	Com	1	VER
Antonino	Antoninus	_	Sing	_	_	Abl	_	_	NOMpro
aduentaret	aduento	_	Sing	3	Sub|Impa|Act	_	_	_	VER

Sed	sed	_	_	_	_	_	_	_	CONcoo
Cassius	Cassius	_	Sing	_	_	Nom	_	_	NOMpro
statim	statim	Pos	_	_	_	_	_	_	ADV
interfectus	interficio	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
caputque	caput界que	_	Sing	_	_	Nom	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
adlatum	affero	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
ad	ad	_	_	_	_	_	_	2	PRE
Antoninum	Antoninus	_	Sing	_	_	Acc	_	_	NOMpro

Marcus	Marcus	_	Sing	_	_	Nom	_	_	NOMpro
tamen	tamen	Pos	_	_	_	_	_	_	ADV
non	non	_	_	_	_	_	_	_	ADVneg
exultauit	exsulto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
interfectione	interfectio	_	Sing	_	_	Abl	_	_	NOMcom
Cassii	Cassius	_	Sing	_	_	Gen	_	_	NOMpro
caputque	caput界que	_	Sing	_	_	Acc	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
humari	humo	_	_	_	Inf|Pres|Pass	_	_	_	VER
iussit	iubeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Maecianum	Maecianus	_	Sing	_	_	Acc	_	_	NOMpro
etiam	etiam	Pos	_	_	_	_	_	_	ADV
filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
Cassii	Cassius	_	Sing	_	_	Gen	_	_	NOMpro
cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
Alexandria	Alexandria	_	Sing	_	_	Nom	_	_	NOMpro
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
commissa	committo	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
exercitus	exercitus	_	Sing	_	_	Nom	_	1	NOMcom
occidit	occido	_	Sing	3	Ind|Perf|Act	_	_	2	VER

nam	nam	_	_	_	_	_	_	_	CONcoo
et	et	Pos	_	_	_	_	_	2	CONcoo
praefectum	praefectus	_	Sing	_	_	Acc	_	_	NOMcom
praetorio	praetorium	_	Sing	_	_	Abl	_	_	NOMcom
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
fecerat	facio	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
et	et	_	_	_	_	_	_	1	ADV
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
occisus	occido	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

In	in	_	_	_	_	_	_	_	PRE
conscios	conscius	Pos	Plur	_	_	Acc	Masc	_	ADJqua
defectionis	defectio	_	Sing	_	_	Gen	_	_	NOMcom
uetuit	ueto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
senatum	senatus	_	Sing	_	_	Acc	_	_	NOMcom
grauiter	grauiter	Pos	_	_	_	_	_	_	ADV
uindicare	uindico	_	_	_	Inf|Pres|Act	_	_	_	VER
simul	simul	Pos	_	_	_	_	_	1	ADV
petit	peto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ne	ne	_	_	_	_	_	_	4	CONsub
qui	quis	_	Sing	_	_	Nom	Masc	2	PROind
senator	senator	_	Sing	_	_	Nom	_	_	NOMcom
tempore	tempus	_	Sing	_	_	Abl	_	1	NOMcom
principatus	principatus	_	Sing	_	_	Gen	_	_	NOMcom
sui	suus	_	Sing	_	_	Gen	MascNeut	_	PROpos.ref
occideretur	occido	_	Sing	3	Sub|Impa|Pass	_	_	2	VER
ne	ne	_	_	_	_	_	_	4	CONsub
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
pollueretur	polluo	_	Sing	3	Sub|Impa|Pass	_	_	_	VER
imperium	imperium	_	Sing	_	_	Acc	_	_	NOMcom
eos	is	_	Plur	_	_	Acc	Masc	_	PROdem
etiam	etiam	Pos	_	_	_	_	_	_	ADV
