token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Omnes	omnis	_	Plur	_	_	Nom	MascFem	_	PROind
artus	artus	_	Plur	_	_	Nom	_	1	NOMcom
caesorum	caedo	_	Plur	_	Par|Perf|Pass	Gen	MascNeut	_	VER
ciuium	ciuis	_	Plur	_	_	Gen	_	_	NOMcom
dirum	dirus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
odorem	odor	_	Sing	_	_	Acc	_	_	NOMcom
faetebant	foeteo	_	Plur	3	Ind|Impa|Act	_	_	_	VER

Hinc	hinc	Pos	_	_	_	_	_	_	ADV
resolutorum	resoluo	_	Plur	_	Par|Perf|Pass	Gen	MascNeut	_	VER
putredo	putredo	_	Sing	_	_	Nom	_	_	NOMcom
uiscerum	uiscus	_	Plur	_	_	Gen	_	1	NOMcom
inde	inde	Pos	_	_	_	_	_	_	ADV
exustorum	exuro	_	Plur	_	Par|Perf|Pass	Gen	MascNeut	_	VER
nidor	nidor	_	Sing	_	_	Nom	_	_	NOMcom
sensus	sensus	_	Plur	_	_	Acc	_	_	NOMcom
omnes	omnis	_	Plur	_	_	Acc	MascFem	_	PROind
atque	atque	_	_	_	_	_	_	1	CONcoo
ora	os	_	Plur	_	_	Acc	_	1	NOMcom
complebant	compleo	_	Plur	3	Ind|Impa|Act	_	_	_	VER
uiuentium	uiuo	_	Plur	_	Par|Pres|Act	Gen	Com	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
ipsi	ipse	_	Plur	_	_	Nom	Masc	_	PROdem
non	non	_	_	_	_	_	_	_	ADVneg
multo	multo	Pos	_	_	_	_	_	2	ADV
post	post	Pos	_	_	_	_	_	1	ADV
grauiore	grauis	Comp	Sing	_	_	Abl	Com	_	ADJqua
morbo	morbus	_	Sing	_	_	Abl	_	_	NOMcom
consumerentur	consumo	_	Plur	3	Sub|Impa|Pass	_	_	_	VER
ac	ac	_	_	_	_	_	_	1	CONcoo
se	sui	_	Plur	_	_	Acc	_	1	PROref
superstites	superstes	Pos	Plur	_	_	Acc	MascFem	_	ADJqua
ingemescerent	ingemisco	_	Plur	3	Sub|Impa|Act	_	_	_	VER
quo	quo	_	_	_	_	_	_	5	CONsub
duriore	durus	Comp	Sing	_	_	Abl	Com	_	ADJqua
poena	poena	_	Sing	_	_	Abl	_	_	NOMcom
perirent	pereo	_	Plur	3	Sub|Impa|Act	_	_	1	VER
eoque	eo界que	Pos	_	_	_	_	_	3	ADV
seruatos	seruo	_	Plur	_	Par|Perf|Pass	Acc	Masc	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
uiderent	uideo	_	Plur	3	Sub|Impa|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	2	PRE
patria	patria	_	Sing	_	_	Abl	_	_	NOMcom
simul	simul	Pos	_	_	_	_	_	1	ADV
solui	soluo	_	_	_	Inf|Pres|Pass	_	_	_	VER
etiam	etiam	Pos	_	_	_	_	_	_	ADV
