token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Alexius	Alexius	_	Sing	_	_	Nom	_	_	NOMpro
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
filius	filius	_	Sing	_	_	Nom	_	_	NOMcom
Euphemiani	Euphemianus	_	Sing	_	_	Gen	_	_	NOMpro
uiri	uir	_	Sing	_	_	Gen	_	_	NOMcom
nobilissimi	nobilis	Sup	Sing	_	_	Nom	MascNeut	2	ADJqua
Romanorum	Romani	_	Plur	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
in	in	_	_	_	_	_	_	_	PRE
aula	aula	_	Sing	_	_	Abl	_	1	NOMcom
imperatoris	imperator	_	Sing	_	_	Gen	_	_	NOMcom
primi	primus	Sup	Sing	_	_	Gen	MascNeut	_	ADJord

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
tria	tres	_	Plur	_	_	Nom	Neut	_	ADJcar
milia	mille	_	Plur	_	_	Nom	Neut	_	ADJcar
puerorum	puer	_	Plur	_	_	Gen	_	_	NOMcom
assistebant	assisto	_	Plur	3	Ind|Impa|Act	_	_	_	VER
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
zonis	zona	_	Plur	_	_	Abl	_	_	NOMcom
aureis	aureus	Pos	Plur	_	_	Abl	Com	2	ADJqua
cingebantur	cingo	_	Plur	3	Ind|Impa|Pass	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
uestimentis	uestimentum	_	Plur	_	_	Abl	_	_	NOMcom
sericis	sericus	Pos	Plur	_	_	Abl	Com	_	ADJqua
induebantur	induo	_	Plur	3	Ind|Impa|Pass	_	_	_	VER

Erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
autem	autem	_	_	_	_	_	_	_	CONcoo
praefectus	praefectus	_	Sing	_	_	Nom	_	_	NOMcom
Euphemianus	Euphemianus	_	Sing	_	_	Nom	_	_	NOMpro
ualde	ualde	Pos	_	_	_	_	_	_	ADV
misericors	misericors	Pos	Sing	_	_	Nom	Com	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
singulis	singulus	_	Plur	_	_	Abl	Com	_	ADJdis
diebus	dies	_	Plur	_	_	Abl	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
domo	domus	_	Sing	_	_	Abl	_	_	NOMcom
sua	suus	_	Sing	_	_	Abl	Fem	_	PROpos.ref
tres	tres	_	Plur	_	_	Nom	MascFem	_	ADJcar
mensae	mensa	_	Plur	_	_	Nom	_	_	NOMcom
pauperibus	pauper	Pos	Plur	_	_	Abl	Com	_	ADJqua
orphanis	orphanus	_	Plur	_	_	Abl	_	_	NOMcom
uiduis	uidua	Pos	Plur	_	_	Abl	Com	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
peregrinis	peregrinus	_	Plur	_	_	Abl	_	1	NOMcom
parabantur	paro	_	Plur	3	Ind|Impa|Pass	_	_	2	VER

Quibus	qui	_	Plur	_	_	Dat	Com	1	PROrel
strenue	strenue	Pos	_	_	_	_	_	_	ADV
seruiebat	seruio	_	Sing	3	Ind|Impa|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
hora	hora	_	Sing	_	_	Abl	_	_	NOMcom
nona	nonus	Pos	Sing	_	_	Abl	Fem	_	ADJord
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
cum	cum	_	_	_	_	_	_	2	PRE
uiris	uir	_	Plur	_	_	Abl	_	_	NOMcom
religiosis	religiosus	Pos	Plur	_	_	Abl	Com	_	ADJqua
cibum	cibus	_	Sing	_	_	Acc	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
timore	timor	_	Sing	_	_	Abl	_	_	NOMcom
Domini	dominus	_	Sing	_	_	Gen	_	_	NOMcom
capiebat	capio	_	Sing	3	Ind|Impa|Act	_	_	2	VER

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
uxor	uxor	_	Sing	_	_	Nom	_	_	NOMcom
nomine	nomen	_	Sing	_	_	Abl	_	_	NOMcom
Aglaes	Aglae	_	Sing	_	_	Nom	_	_	NOMpro
eiusdem	idem	_	Sing	_	_	Gen	Com	_	PROdem
religionis	religio	_	Sing	_	_	Gen	_	_	NOMcom
ac	ac	_	_	_	_	_	_	1	CONcoo
propositi	propositum	_	Sing	_	_	Gen	_	_	NOMcom
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER

Cum	cum	_	_	_	_	_	_	3	CONsub
