token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Post	post	_	_	_	_	_	_	2	PRE
ascensionem	ascensio	_	Sing	_	_	Acc	_	_	NOMcom
Domini	dominus	_	Sing	_	_	Gen	_	_	NOMcom
diuisis	diuido	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
apostolis	apostolus	_	Plur	_	_	Abl	_	_	NOMcom
Andreas	Andreas	_	Sing	_	_	Nom	_	_	NOMpro
apud	apud	_	_	_	_	_	_	_	PRE
Scythiam	Scythia	_	Sing	_	_	Acc	_	_	NOMpro
Matthaeus	Matthaeus	_	Sing	_	_	Nom	_	_	NOMpro
uero	uero	_	_	_	_	_	_	4	CONcoo
apud	apud	_	_	_	_	_	_	_	PRE
Margundiam	Margundia	_	Sing	_	_	Acc	_	_	NOMpro
praedicauit	praedico	_	Sing	3	Ind|Perf|Act	_	_	1	VER

Uiri	uir	_	Plur	_	_	Nom	_	_	NOMcom
autem	autem	_	_	_	_	_	_	_	CONcoo
illi	ille	_	Plur	_	_	Nom	Masc	_	PROdem
praedicationem	praedicatio	_	Sing	_	_	Acc	_	_	NOMcom
Matthaei	Matthaeus	_	Sing	_	_	Gen	_	_	NOMpro
penitus	penitus	Pos	_	_	_	_	_	2	ADV
respuentes	respuo	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
oculos	oculus	_	Plur	_	_	Acc	_	_	NOMcom
eruerunt	eruo	_	Plur	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
uinctum	uincio	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
incarcerauerunt	incarcero	_	Plur	3	Ind|Perf|Act	_	_	_	VER
post	post	_	_	_	_	_	_	2	PRE
paucos	paucus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
dies	dies	_	Plur	_	_	Acc	_	_	NOMcom
occidere	occido	_	_	_	Inf|Pres|Act	_	_	2	VER
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
disponentes	dispono	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER

Interea	interea	Pos	_	_	_	_	_	_	ADV
angelus	angelus	_	Sing	_	_	Nom	_	_	NOMcom
Domini	dominus	_	Sing	_	_	Gen	_	_	NOMcom
Sancto	sanctus	Pos	Sing	_	_	Dat	MascNeut	_	ADJqua
Andreae	Andreas	_	Sing	_	_	Dat	_	_	NOMpro
apparuit	appareo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
Margundiam	Margundia	_	Sing	_	_	Acc	_	_	NOMpro
ad	ad	_	_	_	_	_	_	2	PRE
Sanctum	sanctus	Pos	Sing	_	_	Acc	MascNeut	_	NOMpro
Matthaeum	Matthaeus	_	Sing	_	_	Acc	_	_	NOMpro
ire	eo	_	_	_	Inf|Pres|Act	_	_	1	VER
praecepit	praecipio	_	Sing	3	Ind|Perf|Act	_	_	_	VER

quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
respondente	respondeo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
se	sui	_	Sing	_	_	Acc	_	1	PROref
uiam	uia	_	Sing	_	_	Acc	_	_	NOMcom
nescire	nescio	_	_	_	Inf|Pres|Act	_	_	_	VER
iussit	iubeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
ad	ad	_	_	_	_	_	_	2	PRE
ripam	ripa	_	Sing	_	_	Acc	_	_	NOMcom
maris	mare	_	Sing	_	_	Gen	_	_	NOMcom
iret	eo	_	Sing	3	Sub|Impa|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
ad	ad	_	_	_	_	_	_	2	PRE
primam	primus	Sup	Sing	_	_	Acc	Fem	_	ADJord
nauem	nauis	_	Sing	_	_	Acc	_	_	NOMcom
quam	qui	_	Sing	_	_	Acc	Fem	1	PROrel
inueniret	inuenio	_	Sing	3	Sub|Impa|Act	_	_	_	VER
intraret	intro	_	Sing	3	Sub|Impa|Act	_	_	1	VER

Qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
uel	uel	_	_	_	_	_	_	1	ADV
ocius	ociter	Comp	_	_	_	_	_	_	ADV
iussa	iussum	_	Plur	_	_	Acc	_	_	NOMcom
complens	compleo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
urbem	urbs	_	Sing	_	_	Acc	_	_	NOMcom
praedictam	praedico	_	Sing	_	Par|Perf|Pass	Acc	Fem	2	VER
uenit	uenio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
angelo	angelus	_	Sing	_	_	Abl	_	_	NOMcom
duce	dux	_	Sing	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
prospero	prosper	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
uento	uentus	_	Sing	_	_	Abl	_	_	NOMcom
flante	flo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
inuento	inuenio	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
aperto	aperio	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
carcere	carcer	_	Sing	_	_	Abl	_	_	NOMcom
Sancti	sanctus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
Matthaei	Matthaeus	_	Sing	_	_	Gen	_	_	NOMpro
eoque	is界que	Pos	Sing	_	_	Abl	MascNeut	_	PROdem
uiso	uideo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
fleuit	fleo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
plurimum	multus	Sup	_	_	_	_	_	_	ADV
et	et	_	_	_	_	_	_	2	CONcoo
orauit	oro	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Tunc	tunc	Pos	_	_	_	_	_	_	ADV
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
Matthaeo	Matthaeus	_	Sing	_	_	Dat	_	_	NOMpro
reddidit	reddo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
beneficium	beneficium	_	Sing	_	_	Acc	_	_	NOMcom
duorum	duo	_	Plur	_	_	Gen	MascNeut	_	ADJcar
luminum	lumen	_	Plur	_	_	Gen	_	_	NOMcom
quibus	qui	_	Plur	_	_	Abl	Com	1	PROrel
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
priuauerat	priuo	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
nequitia	nequitia	_	Sing	_	_	Nom	_	_	NOMcom
peccatorum	peccator	_	Plur	_	_	Gen	_	_	NOMcom

Matthaeus	Matthaeus	_	Sing	_	_	Nom	_	_	NOMpro
autem	autem	_	_	_	_	_	_	_	CONcoo
ab	ab	_	_	_	_	_	_	_	PRE
inde	inde	Pos	_	_	_	_	_	_	ADV
recessit	recedo	_	Sing	3	Ind|Perf|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
Antiochiam	Antiochia	_	Sing	_	_	Acc	_	_	NOMpro
uenit	uenio	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Andrea	Andreas	_	Sing	_	_	Abl	_	_	NOMpro
uero	uero	_	_	_	_	_	_	4	CONcoo
Margundia	Margundia	_	Sing	_	_	Abl	_	_	NOMpro
remanente	remaneo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
irati	iratus	Pos	Plur	_	_	Nom	Masc	_	ADJqua
illi	ille	_	Plur	_	_	Nom	Masc	_	PROdem
de	de	_	_	_	_	_	_	_	PRE
euasione	euasio	_	Sing	_	_	Abl	_	_	NOMcom
Sancti	sanctus	Pos	Sing	_	_	Gen	Masc	_	NOMpro
Matthaei	Matthaeus	_	Sing	_	_	Gen	_	_	NOMpro
Andream	Andreas	_	Sing	_	_	Acc	_	_	NOMpro
apprehendunt	apprehendo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
per	per	_	_	_	_	_	_	_	PRE
plateas	platea	_	Plur	_	_	Acc	_	1	NOMcom
ligatis	ligo	_	Plur	_	Par|Perf|Pass	Abl	Com	2	VER
manibus	manus	_	Plur	_	_	Abl	_	1	NOMcom
pertrahunt	pertraho	_	Plur	3	Ind|Pres|Act	_	_	_	VER

cumque	cum界que	_	_	_	_	_	_	3	CONsub
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
sanguis	sanguis	_	Sing	_	_	Nom	_	_	NOMcom
