token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Antonius	Antonius	_	Sing	_	_	Nom	_	_	NOMpro
cum	cum	_	_	_	_	_	_	2	PRE
3	3	_	_	_	_	_	_	_	ADJcar
esset	sum	_	Sing	3	Sub|Impa|Act	_	_	1	VER
annorum	annus	_	Plur	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
audiret	audio	_	Sing	3	Sub|Impa|Act	_	_	_	VER
legi	lego	_	_	_	Inf|Pres|Pass	_	_	2	VER
in	in	_	_	_	_	_	_	_	PRE
ecclesia	ecclesia	_	Sing	_	_	Abl	_	_	NOMcom

Si	si	_	_	_	_	_	_	2	CONsub
uis	uolo	_	Sing	2	Ind|Pres|Act	_	_	3	VER
perfectus	perfectus	Pos	Sing	_	_	Nom	Masc	2	ADJqua
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
uade	uado	_	Sing	2	Imp|Pres|Act	_	_	2	VER
et	et	_	_	_	_	_	_	2	CONcoo
uende	uendo	_	Sing	2	Imp|Pres|Act	_	_	_	VER
omnia	omnis	_	Plur	_	_	Acc	Neut	_	PROind
quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
habes	habeo	_	Sing	2	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
da	do	_	Sing	2	Imp|Pres|Act	_	_	_	VER
pauperibus	pauper	Pos	Plur	_	_	Dat	Masc	_	ADJqua

omnia	omnis	_	Plur	_	_	Acc	Neut	_	PROind
sua	suus	_	Plur	_	_	Acc	Neut	_	NOMcom
uendens	uendo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
pauperibus	pauper	Pos	Plur	_	_	Dat	Masc	_	ADJqua
erogauit	erogo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
eremiticam	eremiticus	Pos	Sing	_	_	Acc	Fem	_	ADJqua
uitam	uita	_	Sing	_	_	Acc	_	_	NOMcom
duxit	duco	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Uir	uir	_	Sing	_	_	Nom	_	_	NOMcom
innumerabilia	innumerabilis	Pos	Plur	_	_	Acc	Neut	_	ADJqua
daemonum	daemon	_	Plur	_	_	Gen	_	_	NOMcom
tentamenta	tentamentum	_	Plur	_	_	Acc	_	_	NOMcom
sustinuit	sustineo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Quadam	quidam	_	Sing	_	_	Abl	Fem	_	PROind
uice	uicis	_	Sing	_	_	Abl	_	_	NOMcom
dum	dum	_	_	_	_	_	_	2	CONsub
spiritum	spiritus	_	Sing	_	_	Acc	_	_	NOMcom
fornicationis	fornicatio	_	Sing	_	_	Gen	_	_	NOMcom
uirtute	uirtus	_	Sing	_	_	Abl	_	_	NOMcom
