token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Franciscus	Franciscus	_	Sing	_	_	Nom	_	_	NOMpro
seruus	seruus	_	Sing	_	_	Nom	_	1	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
amicus	amicus	_	Sing	_	_	Nom	_	1	NOMcom
altissimi	altus	Sup	Sing	_	_	Gen	MascNeut	_	ADJqua
in	in	_	_	_	_	_	_	_	PRE
ciuitate	ciuitas	_	Sing	_	_	Abl	_	_	NOMcom
Assisii	Assisium	_	Sing	_	_	Gen	_	_	NOMpro
ortus	orior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
negotiator	negotiator	_	Sing	_	_	Nom	_	_	NOMcom
effectus	efficio	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
fere	fere	Pos	_	_	_	_	_	_	ADV
usque	usque	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
uicesimum	uicesimus	Pos	Sing	_	_	Acc	MascNeut	_	ADJord
aetatis	aetas	_	Sing	_	_	Gen	_	_	NOMcom
suae	suus	_	Sing	_	_	Gen	Fem	_	PROpos.ref
annum	annus	_	Sing	_	_	Acc	_	_	NOMcom
tempus	tempus	_	Sing	_	_	Acc	_	1	NOMcom
suum	suus	_	Sing	_	_	Acc	MascNeut	_	PROpos.ref
uane	uane	Pos	_	_	_	_	_	_	ADV
uiuendo	uiuo	_	Sing	_	Ger|_|Act	Abl	_	_	VER
consumpsit	consumo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
infirmitatis	infirmitas	_	Sing	_	_	Gen	_	_	NOMcom
flagello	flagellum	_	Sing	_	_	Abl	_	_	NOMcom
corripuit	corripio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
in	in	_	_	_	_	_	_	_	PRE
uirum	uir	_	Sing	_	_	Acc	_	_	NOMcom
alterum	alter	_	Sing	_	_	Acc	MascNeut	_	PROind
subito	subito	Pos	_	_	_	_	_	_	ADV
transformauit	transformo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ita	ita	Pos	_	_	_	_	_	_	ADV
quod	quod	_	_	_	_	_	_	2	CONsub
iam	iam	Pos	_	_	_	_	_	_	ADV
spiritu	spiritus	_	Sing	_	_	Abl	_	_	NOMcom
prophetico	propheticus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
pollere	polleo	_	_	_	Inf|Pres|Act	_	_	_	VER
coepit	coepio	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Nam	nam	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
quadam	quidam	_	Sing	_	_	Abl	Fem	_	PROind
uice	uicis	_	Sing	_	_	Abl	_	_	NOMcom
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
cum	cum	_	_	_	_	_	_	2	PRE
plurimis	multus	Sup	Plur	_	_	Abl	Com	_	ADJqua
a	ab	_	_	_	_	_	_	_	PRE
Perusinis	Perusini	_	Plur	_	_	Abl	_	_	NOMpro
captus	capio	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
diro	dirus	Pos	Sing	_	_	Dat	MascNeut	_	ADJqua
fuisset	sum	_	Sing	3	Sub|Pqp|Act	_	_	1	VER
carceri	carcer	_	Sing	_	_	Dat	_	_	NOMcom
mancipatus	mancipo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
dolentibus	doleo	_	Plur	_	Par|Pres|Act	Abl	Com	_	VER
aliis	alius	_	Plur	_	_	Abl	Com	_	PROind
hic	hic	_	Sing	_	_	Nom	Masc	1	PROdem
solus	solus	_	Sing	_	_	Nom	Masc	_	PROind
exsultat	exsulto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
redargutus	redarguo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
super	super	_	_	_	_	_	_	2	PRE
hoc	hic	_	Sing	_	_	Acc	Neut	1	PROdem
a	ab	_	_	_	_	_	_	_	PRE
concaptiuis	concaptiuus	_	Plur	_	_	Abl	_	_	NOMcom
respondit	respondeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

ideo	ideo	Pos	_	_	_	_	_	_	ADV
me	ego	_	Sing	_	_	Acc	_	_	PROper
exultare	exsulto	_	_	_	Inf|Pres|Act	_	_	_	VER
noueritis	nosco	_	Plur	2	Ind|FutAnt|Act	_	_	_	VER
quia	quia	_	_	_	_	_	_	_	CONsub
adhuc	adhuc	Pos	_	_	_	_	_	_	ADV
sanctus	sanctus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
per	per	_	_	_	_	_	_	_	PRE
totum	totus	_	Sing	_	_	Acc	MascNeut	_	PROind
saeculum	saeculum	_	Sing	_	_	Acc	_	_	NOMcom
adorabor	adoro	_	Sing	1	Ind|Fut|Pass	_	_	_	VER

Quadam	quidam	_	Sing	_	_	Abl	Fem	_	PROind
uice	uicis	_	Sing	_	_	Abl	_	_	NOMcom
Romam	Roma	_	Sing	_	_	Acc	_	_	NOMpro
causa	causa	_	Sing	_	_	Abl	_	_	NOMcom
deuotionis	deuotio	_	Sing	_	_	Gen	_	_	NOMcom
