token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Siluester	Siluester	_	Sing	_	_	Nom	_	_	NOMpro
a	ab	_	_	_	_	_	_	_	PRE
matre	mater	_	Sing	_	_	Abl	_	_	NOMcom
re	res	_	Sing	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
nomine	nomen	_	Sing	_	_	Abl	_	_	NOMcom
Iusta	Iusta	_	Sing	_	_	Abl	_	_	NOMpro
genitus	gigno	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
a	ab	_	_	_	_	_	_	_	PRE
Cyrino	Cyrinus	_	Sing	_	_	Abl	_	_	NOMpro
presbytero	presbyter	_	Sing	_	_	Abl	_	_	NOMcom
eruditus	erudio	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	ADJqua
hospitalitatem	hospitalitas	_	Sing	_	_	Acc	_	_	NOMcom
summe	summe	Pos	_	_	_	_	_	_	ADV
exercebat	exerceo	_	Sing	3	Ind|Impa|Act	_	_	_	VER

Timotheus	Timotheus	_	Sing	_	_	Nom	_	_	NOMpro
autem	autem	_	_	_	_	_	_	_	CONcoo
quidam	quidam	_	Sing	_	_	Nom	Masc	_	PROind
Christianissimus	christianus	Sup	Sing	_	_	Nom	Masc	2	ADJqua
ab	ab	_	_	_	_	_	_	_	PRE
eo	is	_	Sing	_	_	Abl	MascNeut	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
hospitium	hospitium	_	Sing	_	_	Acc	_	_	NOMcom
suscipitur	suscipio	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
tamen	tamen	Pos	_	_	_	_	_	_	ADV
ob	ob	_	_	_	_	_	_	_	PRE
persecutionem	persecutio	_	Sing	_	_	Acc	_	_	NOMcom
ab	ab	_	_	_	_	_	_	_	PRE
aliis	alius	_	Plur	_	_	Abl	Com	_	PROind
uitabatur	uito	_	Sing	3	Ind|Impa|Pass	_	_	_	VER

Hic	hic	_	Sing	_	_	Nom	Masc	1	PROdem
coronam	corona	_	Sing	_	_	Acc	_	_	NOMcom
assecutus	assequor	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
martyrii	martyrium	_	Sing	_	_	Gen	_	_	NOMcom
dum	dum	_	_	_	_	_	_	2	CONsub
praedicaret	praedico	_	Sing	3	Sub|Impa|Act	_	_	1	VER
constantissime	constanter	Sup	_	_	_	_	_	_	ADV
fidem	fides	_	Sing	_	_	Acc	_	2	NOMcom
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro

Putans	puto	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
autem	autem	_	_	_	_	_	_	_	CONcoo
Tarquinius	Tarquinius	_	Sing	_	_	Nom	_	_	NOMpro
praefectus	praefectus	_	Sing	_	_	Nom	_	_	NOMcom
Timotheum	Timotheus	_	Sing	_	_	Acc	_	_	NOMpro
multis	multus	Pos	Plur	_	_	Dat	Com	_	ADJqua
abundasse	abundo	_	_	_	Inf|Perf|Act	_	_	_	VER
diuitiis	diuitiae	_	Plur	_	_	Dat	_	_	NOMcom
eas	is	_	Plur	_	_	Acc	Fem	_	PROdem
a	ab	_	_	_	_	_	_	_	PRE
Siluestro	Siluester	_	Sing	_	_	Abl	_	_	NOMpro
