token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Thomas	Thomas	_	Sing	_	_	Nom	_	_	NOMpro
apostolus	apostolus	_	Sing	_	_	Nom	_	_	NOMcom
cum	cum	_	_	_	_	_	_	3	CONsub
esset	sum	_	Sing	3	Sub|Impa|Act	_	_	1	VER
apud	apud	_	_	_	_	_	_	_	PRE
Caesaream	Caesarea	_	Sing	_	_	Acc	_	_	NOMpro
apparuit	appareo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
dicens	dico	_	Sing	_	Par|Pres|Act	Nom	Com	2	VER

Rex	rex	_	Sing	_	_	Nom	_	_	NOMcom
Indiae	India	_	Sing	_	_	Gen	_	_	NOMpro
Gundoferus	Gundoferus	_	Sing	_	_	Nom	_	_	NOMpro
misit	mitto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
praepositum	praepositus	_	Sing	_	_	Acc	_	1	NOMcom
Abbanem	Abbanes	_	Sing	_	_	Acc	_	_	NOMpro
quaerere	quaero	_	_	_	Inf|Pres|Act	_	_	_	VER
hominem	homo	_	Sing	_	_	Acc	_	_	NOMcom
architectoria	architectorius	Pos	Sing	_	_	Abl	Fem	_	ADJqua
arte	ars	_	Sing	_	_	Abl	_	_	NOMcom
eruditum	erudio	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER

Ueni	uenio	_	Sing	2	Imp|Pres|Act	_	_	_	VER
igitur	igitur	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
mittam	mitto	_	Sing	1	Ind|Fut|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper
ad	ad	_	_	_	_	_	_	2	PRE
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
Thomas	Thomas	_	Sing	_	_	Nom	_	_	NOMpro

Domine	dominus	_	Sing	_	_	Voc	_	_	NOMcom
quo	quo	_	_	_	_	_	_	2	ADVrel
uis	uolo	_	Sing	2	Ind|Pres|Act	_	_	3	VER
mitte	mitto	_	Sing	2	Imp|Pres|Act	_	_	_	VER
me	ego	_	Sing	_	_	Acc	_	_	PROper
praeter	praeter	_	_	_	_	_	_	2	PRE
ad	ad	_	_	_	_	_	_	2	PRE
Indos	Indi	_	Plur	_	_	Acc	_	_	NOMpro

Cui	qui	_	Sing	_	_	Dat	Neut	1	PROrel
Deus	deus	_	Sing	_	_	Nom	_	_	NOMcom

Uade	uado	_	Sing	2	Imp|Pres|Act	_	_	2	VER
secure	secure	Pos	_	_	_	_	_	_	ADV
quia	quia	_	_	_	_	_	_	_	CONsub
ero	sum	_	Sing	1	Ind|Fut|Act	_	_	1	VER
custos	custos	_	Sing	_	_	Nom	_	_	NOMcom
tui	tuus	_	Sing	_	_	Gen	Masc	_	PROpos

Cumque	cum界que	_	_	_	_	_	_	3	CONsub
Indos	Indi	_	Plur	_	_	Acc	_	_	NOMpro
conuerteris	conuerto	_	Sing	2	Ind|FutAnt|Act	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
me	ego	_	Sing	_	_	Acc	_	_	PROper
cum	cum	_	_	_	_	_	_	2	PRE
palma	palma	_	Sing	_	_	Abl	_	_	NOMcom
martyrii	martyrium	_	Sing	_	_	Gen	_	_	NOMcom
uenies	uenio	_	Sing	2	Ind|Fut|Act	_	_	_	VER

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
Thomas	Thomas	_	Sing	_	_	Nom	_	_	NOMpro

Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
meus	meus	_	Sing	_	_	Nom	Masc	_	PROpos
es	sum	_	Sing	2	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
ego	ego	_	Sing	_	_	Nom	_	_	PROper
seruus	seruus	_	Sing	_	_	Nom	_	1	NOMcom
tuus	tuus	_	Sing	_	_	Nom	Masc	_	PROpos
Fiat	fio	_	Sing	3	Sub|Pres|Act	_	_	_	VER
uoluntas	uoluntas	_	Sing	_	_	Nom	_	_	NOMcom
tua	tuus	_	Sing	_	_	Nom	Fem	_	PROpos

Cumque	cum界que	_	_	_	_	_	_	3	CONsub
praepositus	praepositus	_	Sing	_	_	Nom	_	1	NOMcom
per	per	_	_	_	_	_	_	_	PRE
forum	forum	_	Sing	_	_	Acc	_	1	NOMcom
ambularet	ambulo	_	Sing	3	Sub|Impa|Act	_	_	_	VER
dixit	dico	_	Sing	3	Ind|Perf|Act	_	_	2	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom

Quid	quis	_	Sing	_	_	Acc	Neut	1	PROint
comparare	comparo	_	_	_	Inf|Pres|Act	_	_	3	VER
uis	uolo	_	Sing	2	Ind|Pres|Act	_	_	3	VER
iuuenis	iuuenis	_	Sing	_	_	Voc	_	1	NOMcom

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem

Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
meus	meus	_	Sing	_	_	Nom	Masc	_	PROpos
misit	mitto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
me	ego	_	Sing	_	_	Acc	_	_	PROper
ut	ut	_	_	_	_	_	_	4	CONsub
conducam	conduco	_	Sing	1	Sub|Pres|Act	_	_	_	VER
seruos	seruus	_	Plur	_	_	Acc	_	1	NOMcom
in	in	_	_	_	_	_	_	_	PRE
arte	ars	_	Sing	_	_	Abl	_	_	NOMcom
architectoria	architectorius	Pos	Sing	_	_	Abl	Fem	_	ADJqua
