token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Uel	uel	Pos	_	_	_	_	_	2	CONcoo
certe	certe	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	3	CONsub
contra	contra	_	_	_	_	_	_	2	PRE
hanc	hic	_	Sing	_	_	Acc	Fem	1	PROdem
ipsam	ipse	_	Sing	_	_	Acc	Fem	_	PROdem
iram	ira	_	Sing	_	_	Acc	_	_	NOMcom
cur	cur	_	_	_	_	_	_	_	ADVint
nobis	nos	_	Plur	_	_	Dat	_	_	PROper
aduersus	aduersus	_	_	_	_	_	_	3	PRE
fratrem	frater	_	Sing	_	_	Acc	_	_	NOMcom
inrepserit	irrepo	_	Sing	3	Sub|Perf|Act	_	_	_	VER
commouemur	commoueo	_	Plur	1	Ind|Pres|Pass	_	_	_	VER
et	et	_	_	_	_	_	_	1	ADV
irati	iratus	Pos	Plur	_	_	Nom	Masc	_	ADJqua
letales	letalis	Pos	Plur	_	_	Acc	MascFem	_	ADJqua
instigationes	instigatio	_	Plur	_	_	Acc	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
extrudimus	extrudo	_	Plur	1	Ind|Pres|Act	_	_	_	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
in	in	_	_	_	_	_	_	_	PRE
adytis	adytum	_	Plur	_	_	Abl	_	_	NOMcom
pectoris	pectus	_	Sing	_	_	Gen	_	_	NOMcom
nostri	noster	_	Sing	_	_	Gen	MascNeut	_	PROpos
noxias	noxius	Pos	Plur	_	_	Acc	Fem	_	ADJqua
eam	is	_	Sing	_	_	Acc	Fem	_	PROdem
latebras	latebra	_	Plur	_	_	Acc	_	_	NOMcom
habere	habeo	_	_	_	Inf|Pres|Act	_	_	_	VER
permittimus	permitto	_	Plur	1	Ind|Pres|Act	_	_	_	VER

taliter	taliter	Pos	_	_	_	_	_	_	ADV
nos	nos	_	Plur	_	_	Acc	_	_	PROper
irasci	irascor	_	_	_	Inf|Pres|Dep	_	_	_	VER
etiam	etiam	Pos	_	_	_	_	_	_	ADV
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
propheta	propheta	_	Sing	_	_	Nom	_	_	NOMcom
docet	doceo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
in	in	_	_	_	_	_	_	_	PRE
tantum	tantum	_	Sing	_	_	Acc	Neut	1	PROdem
hanc	hic	_	Sing	_	_	Acc	Fem	1	PROdem
e	ex	_	_	_	_	_	_	_	PRE
suis	suus	_	Plur	_	_	Abl	Com	_	PROpos.ref
abegerat	abigo	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
sensibus	sensus	_	Plur	_	_	Abl	_	_	NOMcom
at	at	_	_	_	_	_	_	2	CONcoo
ne	ne	_	_	_	_	_	_	4	CONsub
inimicis	inimicus	_	Plur	_	_	Dat	_	1	NOMcom
quidem	quidem	Pos	_	_	_	_	_	_	ADV
propriis	proprius	Pos	Plur	_	_	Dat	Com	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
quidem	quidem	Pos	_	_	_	_	_	_	ADV
a	ab	_	_	_	_	_	_	_	PRE
deo	deus	_	Sing	_	_	Abl	_	_	NOMcom
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
traditis	trado	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
maluerit	malo	_	Sing	3	Sub|Perf|Act	_	_	_	VER
reddere	reddo	_	_	_	Inf|Pres|Act	_	_	_	VER
talionem	talio	_	Sing	_	_	Acc	_	_	NOMcom
irascimini	irascor	_	Plur	2	Imp|Pres|Dep	_	_	_	VER
inquiens	inquio	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
nolite	nolo	_	Plur	2	Imp|Pres|Act	_	_	_	VER
peccare	pecco	_	_	_	Inf|Pres|Act	_	_	_	VER

ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
etenim	etenim	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
aquam	aqua	_	Sing	_	_	Acc	_	_	NOMcom
de	de	_	_	_	_	_	_	_	PRE
