token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Uerba	uerbum	_	Plur	_	_	Nom	_	_	NOMcom
Hieremiae	Hieremias	_	Sing	_	_	Gen	_	_	NOMpro
filii	filius	_	Sing	_	_	Gen	_	_	NOMcom
Helchiae	Helchias	_	Sing	_	_	Gen	_	_	NOMpro
de	de	_	_	_	_	_	_	_	PRE
sacerdotibus	sacerdos	_	Plur	_	_	Abl	_	_	NOMcom
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
fuerunt	sum	_	Plur	3	Ind|Perf|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
Anathoth	Anathoth	_	_	_	_	Ind	_	_	NOMpro
in	in	_	_	_	_	_	_	_	PRE
terra	terra	_	Sing	_	_	Abl	_	_	NOMcom
Beniamin	Beniamin	_	_	_	_	Ind	_	_	NOMpro

quod	quod	_	_	_	_	_	_	2	CONsub
factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
uerbum	uerbum	_	Sing	_	_	Nom	_	_	NOMcom
domini	dominus	_	Sing	_	_	Gen	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
diebus	dies	_	Plur	_	_	Abl	_	_	NOMcom
Iosiae	Iosias	_	Sing	_	_	Gen	_	_	NOMpro
filii	filius	_	Sing	_	_	Gen	_	_	NOMcom
Amon	Amon	_	_	_	_	Ind	_	_	NOMpro
regis	rex	_	Sing	_	_	Gen	_	_	NOMcom
Iuda	Iuda	_	_	_	_	Ind	_	_	NOMpro
in	in	_	_	_	_	_	_	_	PRE
tertio	tertius	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
decimo	decimus	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
anno	annus	_	Sing	_	_	Abl	_	_	NOMcom
regni	regnum	_	Sing	_	_	Gen	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem

et	et	_	_	_	_	_	_	2	CONcoo
factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
