token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Compositae	compono	_	Plur	_	Par|Perf|Pass	Nom	Fem	_	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
res	res	_	Plur	_	_	Nom	_	_	NOMcom
quodam	quidam	_	Sing	_	_	Abl	MascNeut	_	PROind
modo	modus	_	Sing	_	_	Abl	_	_	NOMcom
iam	iam	Pos	_	_	_	_	_	_	ADV
uidebantur	uideo	_	Plur	3	Ind|Impa|Pass	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
subito	subito	Pos	_	_	_	_	_	_	ADV
illi	ille	_	Sing	_	_	Dat	Com	_	PROdem
alius	alius	_	Sing	_	_	Nom	Masc	_	PROind
terror	terror	_	Sing	_	_	Nom	_	_	NOMcom
adlatus	affero	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
generum	gener	_	Sing	_	_	Acc	_	_	NOMcom
ipsius	ipse	_	Sing	_	_	Gen	Com	_	PROdem
Maxentium	Maxentius	_	Sing	_	_	Acc	_	_	NOMpro
Romae	Roma	_	Sing	_	_	Loc	_	_	NOMpro
factum	facio	_	Sing	_	Par|Perf|Pass	Acc	Masc	_	VER
imperatorem	imperator	_	Sing	_	_	Acc	_	_	NOMcom

cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
motus	motus	_	Sing	_	_	Gen	_	_	NOMcom
haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
causa	causa	_	Sing	_	_	Nom	_	_	NOMcom

cum	cum	_	_	_	_	_	_	3	CONsub
statuisset	statuo	_	Sing	3	Sub|Pqp|Act	_	_	_	VER
censibus	census	_	Plur	_	_	Abl	_	_	NOMcom
institutis	instituo	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
orbem	orbis	_	Sing	_	_	Acc	_	_	NOMcom
terrae	terra	_	Sing	_	_	Gen	_	_	NOMcom
deuorare	deuoro	_	_	_	Inf|Pres|Act	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
hanc	hic	_	Sing	_	_	Acc	Fem	1	PROdem
usque	usque	Pos	_	_	_	_	_	_	ADV
prosiluit	prosilio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
insaniam	insania	_	Sing	_	_	Acc	_	_	NOMcom
ut	ut	_	_	_	_	_	_	4	CONsub
ab	ab	_	_	_	_	_	_	_	PRE
hac	hic	_	Sing	_	_	Abl	Fem	1	PROdem
captiuitate	captiuitas	_	Sing	_	_	Abl	_	_	NOMcom
ne	ne	_	_	_	_	_	_	3	ADVneg
populum	populus	_	Sing	_	_	Acc	_	1	NOMcom
quidem	quidem	Pos	_	_	_	_	_	_	ADV
Romanum	Romanus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
fieri	fio	_	_	_	Inf|Pres|Act	_	_	_	VER
