token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Subiecit	subicio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
Rufius	Rufius	_	Sing	_	_	Nom	_	_	NOMpro
Albinus	Albinus	_	Sing	_	_	Nom	_	_	NOMpro
antiquitatis	antiquitas	_	Sing	_	_	Gen	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
minus	parum	Comp	_	_	_	_	_	2	ADV
quam	quam	_	_	_	_	_	_	1	ADVrel
Caecina	Caecina	_	Sing	_	_	Nom	_	_	NOMpro
peritus	peritus	Pos	Sing	_	_	Nom	Masc	_	ADJqua

miror	miror	_	Sing	1	Ind|Pres|Pass	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper

inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Albine	Albinus	_	Sing	_	_	Voc	_	_	NOMpro
non	non	_	_	_	_	_	_	_	ADVneg
rettulisse	refero	_	_	_	Inf|Perf|Act	_	_	_	VER
quanta	quantus	_	Sing	_	_	Nom	Fem	2	PROint
illis	ille	_	Plur	_	_	Dat	Com	_	PROdem
adfluentia	affluentia	_	Sing	_	_	Nom	_	_	NOMcom
marinarum	marinus	Pos	Plur	_	_	Gen	Fem	_	ADJqua
procurari	procuro	_	_	_	Inf|Pres|Pass	_	_	_	VER
solita	soleo	_	Sing	_	Par|Perf|SemDep	Nom	Fem	_	ADJqua
fuerit	sum	_	Sing	3	Sub|Perf|Act	_	_	1	VER
copiarum	copia	_	Plur	_	_	Gen	_	_	NOMcom
cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
relatu	relatus	_	Sing	_	_	Abl	_	_	NOMcom
maximam	magnus	Sup	Sing	_	_	Acc	Fem	_	ADJqua
conuiuiorum	conuiuium	_	Plur	_	_	Gen	_	_	NOMcom
nostrorum	noster	_	Plur	_	_	Gen	MascNeut	_	PROpos
sobrietatem	sobrietas	_	Sing	_	_	Acc	_	_	NOMcom
doceres	doceo	_	Sing	2	Sub|Impa|Act	_	_	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
Caecina	Caecina	_	Sing	_	_	Nom	_	_	NOMpro

profer	profero	_	Sing	2	Imp|Pres|Act	_	_	_	VER

inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER

in	in	_	_	_	_	_	_	_	PRE
medium	medius	Pos	Sing	_	_	Acc	Neut	_	ADJqua
quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
de	de	_	_	_	_	_	_	_	PRE
hac	hic	_	Sing	_	_	Abl	Fem	1	PROdem
quoque	quoque	_	_	_	_	_	_	_	ADV
parte	pars	_	Sing	_	_	Abl	_	_	NOMcom
lectu	lectus	_	Sing	_	_	Abl	_	1	NOMcom
comperisti	comperio	_	Sing	2	Ind|Perf|Act	_	_	_	VER

Ultra	ultra	Pos	_	_	_	_	_	2	PRE
omnes	omnis	_	Plur	_	_	Acc	Masc	_	PROind
enim	enim	_	_	_	_	_	_	2	CONcoo
polles	polleo	_	Sing	2	Ind|Pres|Act	_	_	_	VER
memoria	memoria	_	Sing	_	_	Abl	_	_	NOMcom
uetustatis	uetustas	_	Sing	_	_	Gen	_	_	NOMcom

Et	et	_	_	_	_	_	_	2	CONcoo
Rufius	Rufius	_	Sing	_	_	Nom	_	_	NOMpro
sic	sic	Pos	_	_	_	_	_	_	ADV
ingressus	ingredior	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

uetustas	uetustas	_	Sing	_	_	Nom	_	_	NOMcom
quidem	quidem	Pos	_	_	_	_	_	_	ADV
nobis	nos	_	Plur	_	_	Dat	_	_	PROper
semper	semper	Pos	_	_	_	_	_	_	ADV
si	si	_	_	_	_	_	_	2	CONsub
sapimus	sapio	_	Plur	1	Ind|Pres|Act	_	_	_	VER
adoranda	adoro	_	Sing	_	Adj|_|Pass	Nom	Fem	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Illa	ille	_	Plur	_	_	Nom	Neut	_	PROdem
quippe	quippe	_	_	_	_	_	_	2	CONcoo
saecula	saeculum	_	Plur	_	_	Nom	_	_	NOMcom
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER
quae	qui	_	Plur	_	_	Nom	Neut	1	PROrel
hoc	hic	_	Sing	_	_	Acc	Neut	1	PROdem
imperium	imperium	_	Sing	_	_	Acc	_	_	NOMcom
uel	uel	_	_	_	_	_	_	2	CONcoo
sanguine	sanguis	_	Sing	_	_	Abl	_	_	NOMcom
uel	uel	_	_	_	_	_	_	2	CONcoo
sudore	sudor	_	Sing	_	_	Abl	_	_	NOMcom
pepererunt	pario	_	Plur	3	Ind|Perf|Act	_	_	2	VER
quod	quod	_	Sing	_	_	Acc	Neut	2	CONsub
non	non	_	_	_	_	_	_	_	ADVneg
nisi	nisi	_	_	_	_	_	_	_	CONsub
uirtutum	uirtus	_	Plur	_	_	Gen	_	_	NOMcom
faceret	facio	_	Sing	3	Sub|Impa|Act	_	_	_	VER
ubertas	ubertas	_	Sing	_	_	Nom	_	_	NOMcom

Sed	sed	_	_	_	_	_	_	_	CONcoo
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
fatendum	fateor	_	Sing	_	Adj|_|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
illa	ille	_	Sing	_	_	Abl	Fem	_	PROdem
uirtutum	uirtus	_	Plur	_	_	Gen	_	_	NOMcom
abundantia	abundantia	_	Sing	_	_	Abl	_	_	NOMcom
uitiis	uitium	_	Plur	_	_	Abl	_	_	NOMcom
quoque	quoque	Pos	_	_	_	_	_	_	ADV
aetas	aetas	_	Sing	_	_	Nom	_	_	NOMcom
illa	ille	_	Sing	_	_	Nom	Fem	_	PROdem
non	non	_	_	_	_	_	_	_	ADVneg
caruit	careo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
e	ex	_	_	_	_	_	_	_	PRE
quibus	qui	_	Plur	_	_	Abl	Com	1	PROrel
nonnulla	nonnullus	_	Plur	_	_	Nom	Neut	_	PROind
nostro	noster	_	Sing	_	_	Abl	MascNeut	_	PROpos
saeculo	saeculum	_	Sing	_	_	Abl	_	_	NOMcom
morum	mos	_	Plur	_	_	Gen	_	_	NOMcom
sobrietate	sobrietas	_	Sing	_	_	Abl	_	_	NOMcom
correcta	corrigo	_	Plur	_	Par|Perf|Pass	Nom	Neut	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER

Et	et	_	_	_	_	_	_	2	CONcoo
de	de	_	_	_	_	_	_	_	PRE
luxu	luxus	_	Sing	_	_	Abl	_	1	NOMcom
