token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Etsi	etsi	_	_	_	_	_	_	2	CONsub
scio	scio	_	Sing	1	Ind|Pres|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper
imperator	imperator	_	Sing	_	_	Voc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
cunctos	cunctus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
consilium	consilium	_	Sing	_	_	Acc	_	_	NOMcom
tuum	tuus	_	Sing	_	_	Acc	MascNeut	_	PROpos
participant	participo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
posse	possum	_	_	_	Inf|Pres|Act	_	_	1	VER
mirari	miror	_	_	_	Inf|Pres|Dep	_	_	_	VER
quod	quod	_	_	_	_	_	_	2	CONsub
nunc	nunc	Pos	_	_	_	_	_	_	ADV
demum	demum	Pos	_	_	_	_	_	_	ADV
gratias	gratia	_	Plur	_	_	Acc	_	_	NOMcom
agere	ago	_	_	_	Inf|Pres|Act	_	_	_	VER
exorsus	exordior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
sum	sum	_	Sing	1	Ind|Pres|Act	_	_	1	VER
quasi	quasi	_	_	_	_	_	_	2	CONsub
beneficia	beneficium	_	Plur	_	_	Nom	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
me	ego	_	Sing	_	_	Acc	_	_	PROper
tua	tuus	_	Plur	_	_	Nom	Fem	_	PROpos
coeperint	coepio	_	Plur	3	Sub|Perf|Act	_	_	_	VER
a	ab	_	_	_	_	_	_	_	PRE
consulatu	consulatus	_	Sing	_	_	Abl	_	_	NOMcom
fatebor	fateor	_	Sing	1	Ind|Fut|Dep	_	_	_	VER
tamen	tamen	Pos	_	_	_	_	_	_	ADV
quod	quod	_	_	_	_	_	_	2	CONsub
ingenii	ingenium	_	Sing	_	_	Gen	_	_	NOMcom
cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
me	ego	_	Sing	_	_	Acc	_	_	PROper
poenitet	paeniteo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
conscius	conscius	Pos	Sing	_	_	Nom	Masc	_	ADJqua
