token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Sidonius	Sidonius	_	Sing	_	_	Nom	_	_	NOMpro
Claudiano	Claudianus	_	Sing	_	_	Dat	_	_	NOMpro
suo	suus	_	Sing	_	_	Dat	MascNeut	_	PROpos.ref
salutem	salus	_	Sing	_	_	Acc	_	_	NOMcom

Committi	committo	_	_	_	Inf|Pres|Pass	_	_	_	VER
domine	dominus	_	Sing	_	_	Voc	_	_	NOMcom
maior	magnus	Comp	Sing	_	_	Voc	MascFem	_	ADJqua
in	in	_	_	_	_	_	_	_	PRE
necessitudinis	necessitudo	_	Sing	_	_	Gen	_	_	NOMcom
iura	ius	_	Plur	_	_	Acc	_	1	NOMcom
pronuntias	pronuntio	_	Sing	2	Ind|Pres|Act	_	_	_	VER
cur	cur	_	_	_	_	_	_	_	ADVint
quod	quod	_	_	_	_	_	_	2	CONsub
ad	ad	_	_	_	_	_	_	2	PRE
salue	salue	_	_	_	_	_	_	_	ADV
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
debitum	debitum	_	Sing	_	_	Acc	_	_	NOMcom
spectat	specto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
a	ab	_	_	_	_	_	_	_	PRE
stilo	stilus	_	Sing	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
pugillaribus	pugillares	_	Plur	_	_	Abl	_	_	NOMcom
diu	diu	Pos	_	_	_	_	_	_	ADV
temperem	tempero	_	Sing	1	Sub|Pres|Act	_	_	_	VER
quodque	quod界que	_	_	_	_	_	_	2	CONsub
deinceps	deinceps	Pos	_	_	_	_	_	_	ADV
nullas	nullus	_	Plur	_	_	Acc	Fem	_	PROind
uiantum	uio	_	Plur	_	Par|Pres|Act	Gen	Com	_	VER
uolas	uola	_	Plur	_	_	Acc	_	_	NOMcom
mea	meus	_	Sing	_	_	Nom	Fem	_	PROpos
papyrus	papyrus	_	Sing	_	_	Nom	_	_	NOMcom
onerauerit	onero	_	Sing	3	Sub|Perf|Act	_	_	_	VER
quae	qui	_	Sing	_	_	Nom	Fem	1	PROrel
uos	uos	_	Plur	_	_	Acc	_	_	PROper
cultu	cultus	_	Sing	_	_	Abl	_	1	NOMcom
sedulae	sedulus	Pos	Sing	_	_	Gen	Fem	_	ADJqua
sospitatis	sospitas	_	Sing	_	_	Gen	_	_	NOMcom
impertiat	impertio	_	Sing	3	Sub|Pres|Act	_	_	_	VER

praeter	praeter	_	_	_	_	_	_	2	PRE
aequum	aequus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
ista	iste	_	Plur	_	_	Acc	Neut	_	PROdem
