token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Sub	sub	_	_	_	_	_	_	_	PRE
idem	idem	_	Sing	_	_	Acc	Neut	_	PROdem
fere	fere	Pos	_	_	_	_	_	_	ADV
tempus	tempus	_	Sing	_	_	Acc	_	1	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
episcopatum	episcopatus	_	Sing	_	_	Acc	_	_	NOMcom
Turonicae	Turonicus	Pos	Sing	_	_	Gen	Fem	_	ADJqua
ecclesiae	ecclesia	_	Sing	_	_	Gen	_	_	NOMcom
petebatur	peto	_	Sing	3	Ind|Impa|Pass	_	_	_	VER
sed	sed	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
erui	eruo	_	_	_	Inf|Pres|Pass	_	_	_	VER
monasterio	monasterium	_	Sing	_	_	Abl	_	_	NOMcom
suo	suus	_	Sing	_	_	Abl	MascNeut	_	PROpos.ref
non	non	_	_	_	_	_	_	_	ADVneg
facile	facile	Pos	_	_	_	_	_	_	ADV
posset	possum	_	Sing	3	Sub|Impa|Act	_	_	1	VER
Rusticius	Rusticius	_	Sing	_	_	Nom	_	_	NOMpro
quidam	quidam	_	Sing	_	_	Nom	_	_	PROind
unus	unus	_	Sing	_	_	Nom	Masc	_	ADJcar
e	ex	_	_	_	_	_	_	_	PRE
ciuibus	ciuis	_	Plur	_	_	Abl	_	_	NOMcom
uxoris	uxor	_	Sing	_	_	Gen	_	_	NOMcom
languore	languor	_	Sing	_	_	Abl	_	_	NOMcom
simulato	simulo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
genua	genu	_	Plur	_	_	Acc	_	_	NOMcom
illius	ille	_	Sing	_	_	Gen	Com	_	PROdem
prouolutus	prouoluo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
egrederetur	egredior	_	Sing	3	Sub|Impa|Dep	_	_	_	VER
obtinuit	obtineo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

ita	ita	Pos	_	_	_	_	_	_	ADV
dispositis	dispono	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
iam	iam	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
itinere	iter	_	Sing	_	_	Abl	_	_	NOMcom
ciuium	ciuis	_	Plur	_	_	Gen	_	_	NOMcom
turbis	turba	_	Plur	_	_	Abl	_	_	NOMcom
sub	sub	_	_	_	_	_	_	_	PRE
quadam	quidam	_	Sing	_	_	Abl	Fem	_	PROind
custodia	custodia	_	Sing	_	_	Abl	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
ciuitatem	ciuitas	_	Sing	_	_	Acc	_	_	NOMcom
usque	usque	Pos	_	_	_	_	_	_	ADV
deducitur	deduco	_	Sing	3	Ind|Pres|Pass	_	_	_	VER

mirum	mirus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
in	in	_	_	_	_	_	_	_	PRE
modum	modus	_	Sing	_	_	Acc	_	_	NOMcom
incredibilis	incredibilis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
multitudo	multitudo	_	Sing	_	_	Nom	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
solum	solum	Pos	_	_	_	_	_	2	ADV
ex	ex	_	_	_	_	_	_	_	PRE
