token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
M.	Marcus	_	Sing	_	_	Nom	_	_	NOMpro
Annaeus	Annaeus	_	Sing	_	_	Nom	_	_	NOMpro
Lucanus	Lucanus	_	Sing	_	_	Nom	_	_	NOMpro
patrem	pater	_	Sing	_	_	Acc	_	_	NOMcom
habuit	habeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
M.	Marcus	_	Sing	_	_	Acc	_	_	NOMpro
Annaeum	Annaeus	_	Sing	_	_	Acc	_	_	NOMpro
Melam	Mela	_	Sing	_	_	Acc	_	_	NOMpro
ex	ex	_	_	_	_	_	_	_	PRE
prouincia	prouincia	_	Sing	_	_	Abl	_	_	NOMcom
Baetica	Baeticus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
Hispaniae	Hispania	_	Sing	_	_	Gen	_	_	NOMpro
interioris	interior	Pos	Sing	_	_	Gen	Com	2	ADJqua
Cordubensem	Cordubensis	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
equitem	eques	_	Sing	_	_	Acc	_	_	NOMcom
Romanum	Romanus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
inlustrem	illustris	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
inter	inter	_	_	_	_	_	_	_	PRE
suos	sui	_	Plur	_	_	Acc	Masc	2	PROpos.ref
notum	notus	Pos	Sing	_	_	Acc	MascNeut	2	ADJqua
Romae	Roma	_	Sing	_	_	Loc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
propter	propter	_	_	_	_	_	_	2	PRE
Senecam	Seneca	_	Sing	_	_	Acc	_	_	NOMpro
fratrem	frater	_	Sing	_	_	Acc	_	_	NOMcom
clarum	clarus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
per	per	_	_	_	_	_	_	_	PRE
omnes	omnis	_	Plur	_	_	Acc	MascFem	_	PROind
uirtutes	uirtus	_	Plur	_	_	Acc	_	_	NOMcom
uirum	uir	_	Sing	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
propter	propter	_	_	_	_	_	_	2	PRE
studium	studium	_	Sing	_	_	Acc	_	_	NOMcom
uitae	uita	_	Sing	_	_	Gen	_	_	NOMcom
quietioris	quietus	Comp	Sing	_	_	Gen	Com	_	ADJqua
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
sequens	sequor	_	Sing	_	Par|Pres|Dep	Nom	Com	_	VER
magis	magis	Comp	_	_	_	_	_	2	ADV
a	ab	_	_	_	_	_	_	_	PRE
turba	turba	_	Sing	_	_	Abl	_	_	NOMcom
recedebat	recedo	_	Sing	3	Ind|Impa|Act	_	_	1	VER
minus	parum	Comp	_	_	_	_	_	2	ADV
latebat	lateo	_	Sing	3	Ind|Impa|Act	_	_	_	VER

Matrem	mater	_	Sing	_	_	Acc	_	_	NOMcom
habuit	habeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
regionis	regio	_	Sing	_	_	Gen	_	_	NOMcom
eiusdem	idem	_	Sing	_	_	Gen	Com	_	PROdem
et	et	_	_	_	_	_	_	2	CONcoo
urbis	urbs	_	Sing	_	_	Gen	_	_	NOMcom
Aciliam	Acilia	_	Sing	_	_	Acc	_	_	NOMpro
nomine	nomen	_	Sing	_	_	Abl	_	_	NOMcom
Acilii	Acilius	_	Sing	_	_	Gen	_	_	NOMpro
Lucani	Lucanus	_	Sing	_	_	Gen	_	_	NOMpro
filiam	filia	_	Sing	_	_	Acc	_	_	NOMcom
oratoris	orator	_	Sing	_	_	Gen	_	_	NOMcom
operae	opera	_	Sing	_	_	Gen	_	_	NOMcom
apud	apud	_	_	_	_	_	_	_	PRE
proconsules	proconsul	_	Plur	_	_	Acc	_	_	NOMcom
frequentis	frequens	Pos	Plur	_	_	Acc	MascFem	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
apud	apud	_	_	_	_	_	_	_	PRE
clarissimos	clarus	Sup	Plur	_	_	Acc	Masc	_	ADJqua
uiros	uir	_	Plur	_	_	Acc	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
nullius	nullus	_	Sing	_	_	Gen	Com	_	PROind
ingenii	ingenium	_	Sing	_	_	Gen	_	_	NOMcom
adeo	adeo	Pos	_	_	_	_	_	2	ADV
non	non	_	_	_	_	_	_	_	ADVneg
improbandus	improbo	_	Sing	_	Adj|_|Pass	Nom	Masc	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
in	in	_	_	_	_	_	_	_	PRE
scriptis	scriptum	_	Plur	_	_	Abl	_	_	NOMcom
