token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Locus	locus	_	Sing	_	_	Nom	_	_	NOMcom
exigit	exigo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
quo	quis	_	Sing	_	_	Abl	MascNeut	2	PROind
armorum	arma	_	Plur	_	_	Gen	_	_	NOMcom
genere	genus	_	Sing	_	_	Abl	_	1	NOMcom
uel	uel	_	_	_	_	_	_	2	CONcoo
instruendi	instruo	_	Sing	_	Ger|_|Act	Gen	_	_	VER
uel	uel	_	_	_	_	_	_	2	CONcoo
muniendi	munio	_	Sing	_	Ger|_|Act	Gen	_	2	VER
sint	sum	_	Plur	3	Sub|Pres|Act	_	_	1	VER
tirones	tiro	_	Plur	_	_	Acc	_	_	NOMcom
referre	refero	_	_	_	Inf|Pres|Act	_	_	_	VER
temptemus	tento	_	Plur	1	Sub|Pres|Act	_	_	_	VER

Sed	sed	_	_	_	_	_	_	_	CONcoo
in	in	_	_	_	_	_	_	_	PRE
hac	hic	_	Sing	_	_	Abl	Fem	1	PROdem
parte	pars	_	Sing	_	_	Abl	_	_	NOMcom
antiqua	antiquus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
penitus	penitus	Pos	_	_	_	_	_	2	ADV
consuetudo	consuetudo	_	Sing	_	_	Nom	_	_	NOMcom
deleta	deleo	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

nam	nam	_	_	_	_	_	_	_	CONcoo
licet	licet	_	_	_	_	_	_	3	CONsub
exemplo	exemplum	_	Sing	_	_	Abl	_	_	NOMcom
Gothorum	Gothi	_	Plur	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
Alanorum	Alani	_	Plur	_	_	Gen	_	_	NOMpro
Hunnorumque	Hunni界que	_	Plur	_	_	Gen	_	_	NOMpro
equitum	eques	_	Plur	_	_	Gen	_	_	NOMcom
arma	arma	_	Plur	_	_	Acc	_	_	NOMcom
profecerint	proficio	_	Plur	3	Sub|Perf|Act	_	_	_	VER
pedites	pedes	_	Plur	_	_	Acc	_	_	NOMcom
constat	consto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
nudatos	nudo	_	Plur	_	Par|Perf|Pass	Acc	Masc	_	VER

Ab	ab	_	_	_	_	_	_	_	PRE
urbe	urbs	_	Sing	_	_	Abl	_	_	NOMcom
enim	enim	_	_	_	_	_	_	2	CONcoo
condita	condo	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
usque	usque	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
tempus	tempus	_	Sing	_	_	Acc	_	1	NOMcom
diui	diuus	Pos	Sing	_	_	Gen	MascNeut	2	ADJqua
Gratiani	Gratianus	_	Sing	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
catafractis	cataphracta	_	Plur	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
galeis	galea	_	Plur	_	_	Abl	_	_	NOMcom
muniebatur	munio	_	Sing	3	Ind|Impa|Pass	_	_	2	VER
pedestris	pedester	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
exercitus	exercitus	_	Sing	_	_	Nom	_	1	NOMcom

Sed	sed	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
campestris	campester	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
exercitatio	exercitatio	_	Sing	_	_	Nom	_	_	NOMcom
interueniente	interuenio	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
neglegentia	negligentia	_	Sing	_	_	Abl	_	_	NOMcom
desidiaque	desidia界que	_	Sing	_	_	Abl	_	1	NOMcom
cessaret	cesso	_	Sing	3	Sub|Impa|Act	_	_	_	VER
grauia	grauis	Pos	Plur	_	_	Acc	Neut	_	ADJqua
uideri	uideo	_	_	_	Inf|Pres|Pass	_	_	_	VER
arma	arma	_	Plur	_	_	Acc	_	_	NOMcom
coeperunt	coepio	_	Plur	3	Ind|Perf|Act	_	_	_	VER
quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
raro	raro	Pos	_	_	_	_	_	_	ADV
milites	miles	_	Plur	_	_	Nom	_	_	NOMcom
induebant	induo	_	Plur	3	Ind|Impa|Act	_	_	_	VER

itaque	itaque	_	_	_	_	_	_	_	CONcoo
ab	ab	_	_	_	_	_	_	_	PRE
imperatore	imperator	_	Sing	_	_	Abl	_	_	NOMcom
postulant	postulo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
primo	primo	Sup	_	_	_	_	_	_	ADJadv.ord
catafractas	cataphracta	_	Plur	_	_	Acc	_	_	NOMcom
deinde	deinde	Pos	_	_	_	_	_	_	ADV
cassides	cassis	_	Plur	_	_	Acc	_	1	NOMcom
se	sui	_	Sing	_	_	Acc	_	1	PROref
refundere	refundo	_	_	_	Inf|Pres|Act	_	_	2	VER

Sic	sic	Pos	_	_	_	_	_	_	ADV
