token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Situs	situs	_	Sing	_	_	Nom	_	1	NOMcom
urbis	urbs	_	Sing	_	_	Gen	_	_	NOMcom
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOMpro
paene	paene	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
orbem	orbis	_	Sing	_	_	Acc	_	_	NOMcom
circumactus	circumago	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
non	non	_	_	_	_	_	_	_	ADVneg
paruo	paruus	Pos	Sing	_	_	Abl	MascNeut	2	ADJqua
murorum	murus	_	Plur	_	_	Gen	_	_	NOMcom
ambitu	ambitus	_	Sing	_	_	Abl	_	_	NOMcom
adsurgit	assurgo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
etiam	etiam	Pos	_	_	_	_	_	_	ADV
montem	mons	_	Sing	_	_	Acc	_	_	NOMcom
Sion	Sion	_	_	_	_	Ind	_	_	NOMpro
quondam	quondam	Pos	_	_	_	_	_	_	ADV
uicinum	uicinus	Pos	Sing	_	_	Acc	MascNeut	2	ADJqua
intra	intra	_	_	_	_	_	_	2	PRE
se	sui	_	Sing	_	_	Acc	_	1	PROref
recipit	recipio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
a	ab	_	_	_	_	_	_	_	PRE
meridie	meridies	_	Sing	_	_	Abl	_	_	NOMcom
positus	pono	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
pro	pro	_	_	_	_	_	_	1	PRE
arce	arx	_	Sing	_	_	Abl	_	_	NOMcom
urbi	urbs	_	Sing	_	_	Dat	_	_	NOMcom
supereminet	superemineo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
maior	magnus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
pars	pars	_	Sing	_	_	Nom	_	_	NOMcom
ciuitatis	ciuitas	_	Sing	_	_	Gen	_	_	NOMcom
infra	infra	_	_	_	_	_	_	2	PRE
montem	mons	_	Sing	_	_	Acc	_	_	NOMcom
iacet	iaceo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
planitie	planities	_	Sing	_	_	Abl	_	_	NOMcom
humilioris	humilis	Comp	Sing	_	_	Gen	Com	_	ADJqua
collis	collis	_	Sing	_	_	Gen	_	_	NOMcom
sita	situs	Pos	Sing	_	_	Nom	Fem	2	ADJqua

Post	post	_	_	_	_	_	_	2	PRE
passionem	passio	_	Sing	_	_	Acc	_	_	NOMcom
quippe	quippe	_	_	_	_	_	_	2	CONcoo
Domini	dominus	_	Sing	_	_	Gen	_	_	NOMcom
a	ab	_	_	_	_	_	_	_	PRE
Tito	Titus	_	Sing	_	_	Abl	_	_	NOMpro
imperatore	imperator	_	Sing	_	_	Abl	_	_	NOMcom
destructa	destruo	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
sed	sed	_	_	_	_	_	_	_	CONcoo
ab	ab	_	_	_	_	_	_	_	PRE
Helio	Helius	_	Sing	_	_	Abl	_	_	NOMpro
Adriano	Hadrianus	_	Sing	_	_	Abl	_	_	NOMpro
Caesare	Caesar	_	Sing	_	_	Abl	_	_	NOMpro
a	ab	_	_	_	_	_	_	_	PRE
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
etiam	etiam	Pos	_	_	_	_	_	_	ADV
nunc	nunc	Pos	_	_	_	_	_	_	ADV
Helia	Aelia	_	Sing	_	_	Nom	_	_	NOMpro
uocatur	uoco	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
instaurata	instauro	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
multoque	multo界que	Pos	_	_	_	_	_	2	ADV
amplior	amplus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
effecta	efficio	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Unde	unde	_	_	_	_	_	_	1	ADVrel
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
quod	quod	_	_	_	_	_	_	2	CONsub
cum	cum	_	_	_	_	_	_	3	CONsub
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
extra	extra	_	_	_	_	_	_	2	PRE
portas	porta	_	Plur	_	_	Acc	_	_	NOMcom
urbis	urbs	_	Sing	_	_	Gen	_	_	NOMcom
passus	patior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
sepultusque	sepelio界que	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
sit	sum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
modo	modo	Pos	_	_	_	_	_	1	ADV
loca	locus	_	Plur	_	_	Acc	_	_	NOMcom
passionis	passio	_	Sing	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
resurrectionis	resurrectio	_	Sing	_	_	Gen	_	_	NOMcom
illius	ille	_	Sing	_	_	Gen	Com	_	PROdem
intra	intra	_	_	_	_	_	_	2	PRE
eiusdem	idem	_	Sing	_	_	Gen	Com	_	PROdem
moenia	moenia	_	Plur	_	_	Nom	_	_	NOMcom
cernuntur	cerno	_	Plur	3	Ind|Pres|Pass	_	_	_	VER

Cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
in	in	_	_	_	_	_	_	_	PRE
magno	magnus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
murorum	murus	_	Plur	_	_	Gen	_	_	NOMcom
ambitu	ambitus	_	Sing	_	_	Abl	_	_	NOMcom
3	3	_	_	_	_	_	_	_	ADJcar
turres	turris	_	Plur	_	_	Nom	_	_	NOMcom
portae	porta	_	Plur	_	_	Nom	_	_	NOMcom
uero	uero	_	_	_	_	_	_	4	CONcoo
sex	sex	_	_	_	_	Ind	_	_	ADJcar
uisuntur	uiso	_	Plur	3	Ind|Pres|Pass	_	_	_	VER
Prima	primus	Sup	Sing	_	_	Nom	Fem	_	ADJord
porta	porta	_	Sing	_	_	Nom	_	_	NOMcom
Dauid	Dauid	_	_	_	_	Ind	_	_	NOMpro
ad	ad	_	_	_	_	_	_	2	PRE
occidentem	Occidens	_	Sing	_	_	Acc	_	_	NOMcom
montis	mons	_	Sing	_	_	Gen	_	_	NOMcom
Sion	Sion	_	_	_	_	Ind	_	_	NOMpro
secunda	secundus	Pos	Sing	_	_	Nom	Fem	2	ADJord
porta	porta	_	Sing	_	_	Nom	_	_	NOMcom
uillae	uilla	_	Sing	_	_	Gen	_	_	NOMcom
fullonis	fullo	_	Sing	_	_	Gen	_	_	NOMcom
tertia	tertius	Pos	Sing	_	_	Nom	Fem	_	ADJord
