token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Adulterari	adulteror	_	_	_	Inf|Pres|Dep	_	_	_	VER
non	non	_	_	_	_	_	_	_	ADVneg
potest	possum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
sponsa	sponsum	_	Sing	_	_	Nom	_	_	NOMcom
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro
incorrupta	incorruptus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
pudica	pudicus	Pos	Sing	_	_	Nom	Fem	_	ADJqua

unam	unus	_	Sing	_	_	Acc	Fem	_	ADJcar
domum	domus	_	Sing	_	_	Acc	_	_	NOMcom
nouit	nosco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
unius	unus	_	Sing	_	_	Gen	Com	_	ADJcar
cubiculi	cubiculum	_	Sing	_	_	Gen	_	_	NOMcom
sanctitatem	sanctitas	_	Sing	_	_	Acc	_	_	NOMcom
casto	castus	Pos	Sing	_	_	Abl	MascNeut	2	ADJqua
pudore	pudor	_	Sing	_	_	Abl	_	_	NOMcom
custodit	custodio	_	Sing	3	Ind|Pres|Act	_	_	_	VER

haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
nos	nos	_	Plur	_	_	Acc	_	_	PROper
Deo	deus	_	Sing	_	_	Dat	_	_	NOMcom
seruat	seruo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
filios	filius	_	Plur	_	_	Acc	_	_	NOMcom
regno	regnum	_	Sing	_	_	Abl	_	_	NOMcom
quos	qui	_	Plur	_	_	Acc	Masc	1	PROrel
generauit	genero	_	Sing	3	Ind|Perf|Act	_	_	_	VER
adsignat	assigno	_	Sing	3	Ind|Pres|Act	_	_	_	VER

quisque	quisque	_	Sing	_	_	Nom	Masc	2	PROind
ab	ab	_	_	_	_	_	_	_	PRE
ecclesia	ecclesia	_	Sing	_	_	Abl	_	_	NOMcom
segregatus	segrego	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
adulterae	adultera	_	Sing	_	_	Dat	_	_	NOMcom
iungitur	iungo	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
a	ab	_	_	_	_	_	_	_	PRE
promissis	promissum	_	Plur	_	_	Abl	_	_	NOMcom
ecclesiae	ecclesia	_	Sing	_	_	Gen	_	_	NOMcom
separatur	separo	_	Sing	3	Ind|Pres|Pass	_	_	2	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
perueniet	peruenio	_	Sing	3	Ind|Fut|Act	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro
praemia	praemium	_	Plur	_	_	Acc	_	_	NOMcom
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
reliquit	relinquo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ecclesiam	ecclesia	_	Sing	_	_	Acc	_	_	NOMcom
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro

alienus	alienus	Pos	Sing	_	_	Nom	Masc	2	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
profanus	profanus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
hostis	hostis	_	Sing	_	_	Nom	_	_	NOMcom
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

habere	habeo	_	_	_	Inf|Pres|Act	_	_	_	VER
non	non	_	_	_	_	_	_	_	ADVneg
potest	possum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
Deum	deus	_	Sing	_	_	Acc	_	_	NOMcom
patrem	pater	_	Sing	_	_	Acc	_	_	NOMcom
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
ecclesiam	ecclesia	_	Sing	_	_	Acc	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
habet	habeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
matrem	mater	_	Sing	_	_	Acc	_	_	NOMcom

si	si	_	_	_	_	_	_	2	CONsub
potuit	possum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
euadere	euado	_	_	_	Inf|Pres|Act	_	_	2	VER
quisque	quisque	_	Sing	_	_	Nom	Masc	2	PROind
extra	extra	_	_	_	_	_	_	2	PRE
arcam	arca	_	Sing	_	_	Acc	_	_	NOMcom
Noe	Noe	_	_	_	_	Ind	_	_	NOMpro
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
extra	extra	_	_	_	_	_	_	2	PRE
ecclesiam	ecclesia	_	Sing	_	_	Acc	_	_	NOMcom
foris	foris	Pos	_	_	_	_	_	2	ADV
fuerit	sum	_	Sing	3	Sub|Perf|Act	_	_	1	VER
euadit	euado	_	Sing	3	Ind|Pres|Act	_	_	2	VER

monet	moneo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
dicit	dico	_	Sing	3	Ind|Pres|Act	_	_	2	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
non	non	_	_	_	_	_	_	_	ADVneg
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
mecum	ego界cum	_	Sing	_	_	Abl	_	_	PROper
aduersus	aduersus	_	_	_	_	_	_	3	PRE
me	ego	_	Sing	_	_	Acc	_	_	PROper
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
non	non	_	_	_	_	_	_	_	ADVneg
mecum	ego界cum	_	Sing	_	_	Abl	_	_	PROper
colligit	colligo	_	Sing	3	Ind|Pres|Act	_	_	3	VER
spargit	spargo	_	Sing	3	Ind|Pres|Act	_	_	2	VER

qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
pacem	pax	_	Sing	_	_	Acc	_	_	NOMcom
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
concordiam	concordia	_	Sing	_	_	Acc	_	_	NOMcom
rumpit	rumpo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
aduersus	aduersus	_	_	_	_	_	_	3	PRE
Christum	Christus	_	Sing	_	_	Acc	_	_	NOMpro
facit	facio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
alibi	alibi	Pos	_	_	_	_	_	_	ADV
praeter	praeter	_	_	_	_	_	_	2	PRE
ecclesiam	ecclesia	_	Sing	_	_	Acc	_	_	NOMcom
colligit	colligo	_	Sing	3	Ind|Pres|Act	_	_	3	VER
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro
ecclesiam	ecclesia	_	Sing	_	_	Acc	_	_	NOMcom
spargit	spargo	_	Sing	3	Ind|Pres|Act	_	_	2	VER

dicit	dico	_	Sing	3	Ind|Pres|Act	_	_	2	VER
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
ego	ego	_	Sing	_	_	Nom	_	_	PROper
et	et	_	_	_	_	_	_	2	CONcoo
pater	pater	_	Sing	_	_	Nom	_	_	NOMcom
unum	unum	_	Sing	_	_	Nom	_	_	NOMcom
sumus	sum	_	Plur	1	Ind|Pres|Act	_	_	1	VER

et	et	_	_	_	_	_	_	2	CONcoo
iterum	iterum	Pos	_	_	_	_	_	_	ADV
de	de	_	_	_	_	_	_	_	PRE
Patre	pater	_	Sing	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
Filio	filius	_	Sing	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
Spiritu	spiritus	_	Sing	_	_	Abl	_	_	NOMcom
sancto	sanctus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
scriptum	scribo	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
tres	tres	_	Plur	_	_	Nom	MascFem	_	ADJcar
unum	unum	_	Sing	_	_	Nom	_	_	NOMcom
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER

et	et	_	_	_	_	_	_	2	CONcoo
quisquam	quisquam	_	Sing	_	_	Nom	Masc	_	PROind
credit	credo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
hanc	hic	_	Sing	_	_	Acc	Fem	1	PROdem
unitatem	unitas	_	Sing	_	_	Acc	_	_	NOMcom
de	de	_	_	_	_	_	_	_	PRE
