token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Quare	quare	_	_	_	_	_	_	2	ADVint
fremuerunt	fremo	_	Plur	3	Ind|Perf|Act	_	_	_	VER
gentes	gens	_	Plur	_	_	Nom	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
populi	populus	_	Plur	_	_	Nom	_	1	NOMcom
meditati	meditor	_	Plur	_	Par|Perf|Dep	Nom	Masc	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER
inania	inanis	Pos	Plur	_	_	Acc	Neut	_	ADJqua

et	et	_	_	_	_	_	_	2	CONcoo
reliqua	reliquum	_	Plur	_	_	Nom	Neut	_	NOMcom

Plures	multus	Comp	Plur	_	_	Acc	MascFem	_	ADJqua
nostrum	nos	_	Plur	_	_	Gen	_	_	PROper
ambiguos	ambiguus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
facit	facio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
apostolica	apostolicus	_	Sing	_	_	Nom	Fem	_	ADJqua
auctoritas	auctoritas	_	Sing	_	_	Nom	_	_	NOMcom
utrum	utrum	_	_	_	_	_	_	_	ADVint
psalmum	psalmus	_	Sing	_	_	Acc	_	_	NOMcom
hunc	hic	_	Sing	_	_	Acc	Masc	1	PROdem
cohaerentem	cohaereo	_	Sing	_	Par|Pres|Act	Acc	MascFem	_	VER
primo	primus	_	Sing	_	_	Dat	MascNeut	_	ADJord
et	et	_	_	_	_	_	_	2	CONcoo
ueluti	uelut	_	_	_	_	_	_	1	ADVrel
primi	primus	Sup	Sing	_	_	Gen	MascNeut	_	ADJord
extimum	exter	Sup	Sing	_	_	Acc	MascNeut	_	ADJqua
putent	puto	_	Plur	3	Sub|Pres|Act	_	_	_	VER
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
an	an	_	_	_	_	_	_	_	ADVint
uero	uero	Pos	_	_	_	_	_	3	ADV
subiacentem	subiaceo	_	Sing	_	Par|Pres|Act	Acc	MascFem	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
secundum	secundus	Pos	Sing	_	_	Acc	MascNeut	1	ADJqua
potius	potius	Comp	_	_	_	_	_	_	ADV
connumerent	connumero	_	Plur	3	Sub|Pres|Act	_	_	_	VER

namque	namque	_	_	_	_	_	_	_	CONcoo
in	in	_	_	_	_	_	_	_	PRE
Actibus	actus	_	Plur	_	_	Abl	_	1	NOMcom
apostolorum	apostolus	_	Plur	_	_	Gen	_	_	NOMcom
primum	primus	Sup	Sing	_	_	Acc	MascNeut	_	ADJord
hunc	hic	_	Sing	_	_	Acc	Masc	1	PROdem
haberi	habeo	_	_	_	Inf|Pres|Pass	_	_	_	VER
atque	atque	_	_	_	_	_	_	1	CONcoo
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
sub	sub	_	_	_	_	_	_	_	PRE
oratione	oratio	_	Sing	_	_	Abl	_	_	NOMcom
beati	beatus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
Pauli	Paulus	_	Sing	_	_	Gen	_	_	NOMpro
ita	ita	Pos	_	_	_	_	_	_	ADV
docemur	doceo	_	Plur	1	Ind|Pres|Pass	_	_	_	VER
nosque	nos界que	_	Plur	_	_	Nom	_	_	PROper
uobis	uos	_	Plur	_	_	Dat	_	_	PROper
euangelizamus	euangelizo	_	Plur	1	Ind|Pres|Pass	_	_	_	VER
eam	is	_	Sing	_	_	Acc	Fem	_	PROdem
quae	qui	_	Sing	_	_	Nom	Fem	1	PROrel
ad	ad	_	_	_	_	_	_	2	PRE
patres	pater	_	Plur	_	_	Acc	_	_	NOMcom
facta	facio	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
promissio	promissio	_	Sing	_	_	Nom	_	_	NOMcom
hanc	hic	_	Sing	_	_	Acc	Fem	1	PROdem
deus	deus	_	Sing	_	_	Nom	_	_	NOMcom
expleuit	expleo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
filiis	filius	_	Plur	_	_	Dat	_	_	NOMcom
nostris	noster	_	Plur	_	_	Dat	Com	_	PROpos

suscitans	suscito	_	Sing	_	Par|Pres|Act	Nom	Com	1	VER
dominum	dominus	_	Sing	_	_	Acc	_	_	NOMcom
nostrum	noster	_	Sing	_	_	Acc	MascNeut	_	PROpos
