form	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Uerba	uerbum	_	Plur	_	_	Nom	_	_	NOM
Hieremiae	Hieremias	_	Sing	_	_	Gen	_	_	NOM
filii	filius	_	Sing	_	_	Gen	_	_	NOM
Helchiae	Helchias	_	Sing	_	_	Gen	_	_	NOM
de	de	_	_	_	_	_	_	_	PRE
sacerdotibus	sacerdos	_	Plur	_	_	Abl	_	_	NOM
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
fuerunt	sum	_	Plur	3	Ind|Perf|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
Anathoth	Anathoth	_	_	_	_	Ind	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
terra	terra	_	Sing	_	_	Abl	_	_	NOM
Beniamin	Beniamin	_	_	_	_	Ind	_	_	NOM

quod	quod	_	_	_	_	_	_	2	CONsub
factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
uerbum	uerbum	_	Sing	_	_	Nom	_	_	NOM
domini	dominus	_	Sing	_	_	Gen	_	_	NOM
ad	ad	_	_	_	_	_	_	2	PRE
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
diebus	dies	_	Plur	_	_	Abl	_	_	NOM
Iosiae	Iosias	_	Sing	_	_	Gen	_	_	NOM
filii	filius	_	Sing	_	_	Gen	_	_	NOM
Amon	Amon	_	_	_	_	Ind	_	_	NOM
regis	rex	_	Sing	_	_	Gen	_	_	NOM
Iuda	Iuda	_	_	_	_	Ind	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
tertio	tertius	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
decimo	decimus	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
anno	annus	_	Sing	_	_	Abl	_	_	NOM
regni	regnum	_	Sing	_	_	Gen	_	_	NOM
eius	is	_	Sing	_	_	Gen	Com	_	PROdem

et	et	_	_	_	_	_	_	2	CONcoo
factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
