form	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Senex	senex	_	Sing	_	_	Nom	_	1	NOM
fidelis	fidelis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
prima	primus	Sup	Sing	_	_	Abl	Fem	_	ADJord
credendi	credo	_	Sing	_	Ger|_|Act	Gen	_	_	VER
uia	uia	_	Sing	_	_	Abl	_	_	NOM
Abram	Abram	_	_	_	_	Ind	_	_	NOM
beati	beatus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
seminis	semen	_	Sing	_	_	Gen	_	1	NOM
serus	serus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
pater	pater	_	Sing	_	_	Nom	_	_	NOM
adiecta	adicio	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
nomen	nomen	_	Sing	_	_	Acc	_	_	NOM
auxit	augeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
syllaba	syllaba	_	Sing	_	_	Nom	_	_	NOM
Abram	Abram	_	_	_	_	Ind	_	_	NOM
parenti	parens	_	Sing	_	_	Dat	_	1	NOM
dictus	dico	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
Abraham	Abraham	_	_	_	_	Ind	_	_	NOM
Deo	deus	_	Sing	_	_	Dat	_	_	NOM
senile	senilis	Pos	Sing	_	_	Nom	Neut	_	ADJqua
pignus	pignus	_	Sing	_	_	Nom	_	_	NOM
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
dicauit	dico	_	Sing	3	Ind|Perf|Act	_	_	1	VER
uictimae	uictima	_	Sing	_	_	Dat	_	_	NOM
docens	doceo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
aram	ara	_	Sing	_	_	Acc	_	_	NOM
cum	cum	_	_	_	_	_	_	3	CONsub
litare	lito	_	_	_	Inf|Pres|Act	_	_	_	VER
quis	quis	_	Sing	_	_	Nom	Masc	2	PROind
uelit	uolo	_	Sing	3	Sub|Pres|Act	_	_	3	VER
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
dulce	dulcis	Pos	Sing	_	_	Nom	Neut	_	ADJqua
cordi	cor	_	Sing	_	_	Dat	_	_	NOM
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
pium	pius	Pos	Sing	_	_	Nom	Neut	_	ADJqua
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
unicum	unicus	Pos	Sing	_	_	Nom	Neut	_	ADJqua
Deo	deus	_	Sing	_	_	Dat	_	_	NOM
libenter	libenter	Pos	_	_	_	_	_	_	ADV
offerendum	offero	_	Sing	_	Ger|_|Act	Acc	_	_	VER
credito	credo	_	Sing	_	Par|Perf|Pass	Dat	MascNeut	_	VER
pugnare	pugno	_	_	_	Inf|Pres|Act	_	_	_	VER
