form	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Mutant	muto	_	Plur	3	Ind|Pres|Act	_	_	2	VER
et	et	_	_	_	_	_	_	2	CONcoo
bestiae	bestia	_	Plur	_	_	Nom	_	_	NOM
pro	pro	_	_	_	_	_	_	1	PRE
ueste	uestis	_	Sing	_	_	Abl	_	_	NOM
formam	forma	_	Sing	_	_	Acc	_	_	NOM
quamquam	quamquam	_	_	_	_	_	_	2	CONsub
et	et	_	_	_	_	_	_	2	CONcoo
pauo	pauus	_	Sing	_	_	Dat	_	_	NOM
pluma	pluma	_	Sing	_	_	Nom	_	_	NOM
uestis	uestis	_	Sing	_	_	Nom	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
quidem	quidem	Pos	_	_	_	_	_	_	ADV
de	de	_	_	_	_	_	_	_	PRE
cataclistis	cataclita	_	Plur	_	_	Abl	_	_	NOM
immo	immo	Pos	_	_	_	_	_	_	ADV
omni	omnis	_	Sing	_	_	Abl	Com	_	PROind
conchylio	conchylium	_	Sing	_	_	Abl	_	_	NOM
pressior	pressus	Comp	Sing	_	_	Nom	MascFem	2	ADJqua
qua	qua	_	_	_	_	_	_	1	ADVrel
colla	collum	_	Plur	_	_	Nom	_	_	NOM
florent	floreo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
omni	omnis	_	Sing	_	_	Abl	Com	_	PROind
patagio	patagium	_	Sing	_	_	Abl	_	_	NOM
inauratior	inauratus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
qua	qua	_	_	_	_	_	_	1	ADVrel
terga	tergum	_	Plur	_	_	Nom	_	_	NOM
fulgent	fulgeo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
omni	omnis	_	Sing	_	_	Abl	Com	_	PROind
syrmate	syrma	_	Sing	_	_	Abl	_	_	NOM
solutior	solutus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
qua	qua	_	_	_	_	_	_	1	ADVrel
caudae	cauda	_	Plur	_	_	Nom	_	_	NOM
iacent	iaceo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
multicolor	multicolor	Pos	Sing	_	_	Nom	Com	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
discolor	discolor	Pos	Sing	_	_	Nom	Com	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
uersicolor	uersicolor	Pos	Sing	_	_	Nom	Com	_	ADJqua
nunquam	numquam	_	_	_	_	_	_	_	ADVneg
ipsa	ipse	_	Sing	_	_	Nom	Fem	_	PROdem
semper	semper	Pos	_	_	_	_	_	_	ADV
alia	alius	_	Sing	_	_	Nom	Fem	_	PROind
etsi	etsi	_	_	_	_	_	_	2	CONsub
semper	semper	Pos	_	_	_	_	_	_	ADV
ipsa	ipse	_	Sing	_	_	Nom	Fem	_	PROdem
quando	quando	_	_	_	_	_	_	3	CONsub
alia	alius	_	Sing	_	_	Nom	Fem	_	PROind
totiens	totiens	Pos	_	_	_	_	_	_	ADV
denique	denique	Pos	_	_	_	_	_	_	ADV
mutanda	muto	_	Sing	_	Adj|_|Pass	Nom	Fem	2	VER
quotiens	quotiens	_	_	_	_	_	_	1	ADVrel
mouenda	moueo	_	Sing	_	Adj|_|Pass	Nom	Fem	_	VER

Nominandus	nomino	_	Sing	_	Adj|_|Pass	Nom	Masc	_	VER
