token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Nunc	nunc	Pos	_	_	_	_	_	_	ADV
de	de	_	_	_	_	_	_	_	PRE
artificio	artificium	_	Sing	_	_	Abl	_	_	NOMcom
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
circenses	circenses	_	Plur	_	_	Nom	_	_	NOMcom
exhibentur	exhibeo	_	Plur	3	Ind|Pres|Pass	_	_	_	VER

res	res	_	Sing	_	_	Nom	_	_	NOMcom
equestris	equester	Pos	Sing	_	_	Gen	Com	_	ADJqua
retro	retro	Pos	_	_	_	_	_	1	ADV
simplex	simplex	Pos	Sing	_	_	Nom	Com	_	ADJmul
de	de	_	_	_	_	_	_	_	PRE
dorso	dorsum	_	Sing	_	_	Abl	_	_	NOMcom
agebatur	ago	_	Sing	3	Ind|Impa|Pass	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
utique	utique	Pos	_	_	_	_	_	_	ADV
communis	communis	Pos	Sing	_	_	Gen	Com	_	ADJqua
usus	usus	_	Sing	_	_	Nom	_	_	NOMcom

reus	reus	_	Sing	_	_	Nom	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER

sed	sed	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
ad	ad	_	_	_	_	_	_	2	PRE
ludos	ludus	_	Plur	_	_	Acc	_	_	NOMcom
coactus	cogo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
transiit	transeo	_	Sing	3	Ind|Perf|Act	_	_	1	VER
a	ab	_	_	_	_	_	_	_	PRE
dei	deus	_	Sing	_	_	Gen	_	_	NOMcom
munere	munus	_	Sing	_	_	Abl	_	_	NOMcom
ad	ad	_	_	_	_	_	_	2	PRE
daemoniorum	daemonium	_	Plur	_	_	Gen	_	_	NOMcom
officia	officium	_	Plur	_	_	Acc	_	_	NOMcom

itaque	itaque	_	_	_	_	_	_	_	CONcoo
Castori	Castor	_	Sing	_	_	Dat	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
Polluci	Pollux	_	Sing	_	_	Dat	_	_	NOMpro
deputatur	deputo	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
species	species	_	Sing	_	_	Nom	_	_	NOMcom
quibus	qui	_	Plur	_	_	Dat	Com	1	PROrel
equos	equus	_	Plur	_	_	Acc	_	_	NOMcom
a	ab	_	_	_	_	_	_	_	PRE
Mercurio	Mercurius	_	Sing	_	_	Abl	_	_	NOMpro
distributos	distribuo	_	Plur	_	Par|Perf|Pass	Acc	Masc	_	VER
Stesichorus	Stesichorus	_	Sing	_	_	Nom	_	_	NOMpro
docet	doceo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

sed	sed	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
Neptunus	Neptunus	_	Sing	_	_	Nom	_	_	NOMpro
equestris	equester	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
Graeci	Graeci	_	Plur	_	_	Nom	_	_	NOMpro
appellant	appello	_	Plur	3	Ind|Pres|Act	_	_	1	VER

de	de	_	_	_	_	_	_	_	PRE
iugo	iugum	_	Sing	_	_	Abl	_	_	NOMcom
uero	uero	_	_	_	_	_	_	3	ADV
quadrigas	quadriga	_	Plur	_	_	Acc	_	_	NOMcom
Soli	Sol	_	Sing	_	_	Dat	_	_	NOMpro
bigas	biga	_	Plur	_	_	Acc	_	_	NOMcom
Lunae	luna	_	Sing	_	_	Gen	_	_	NOMcom
sanxerunt	sancio	_	Plur	3	Ind|Perf|Act	_	_	_	VER

sed	sed	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
Primus	primus	Sup	Sing	_	_	Nom	Masc	_	ADJord
Erichthonius	Erichthonius	_	Sing	_	_	Nom	_	_	NOMpro
currus	currus	_	Sing	_	_	Acc	_	_	NOMcom
